#K-Path  Band-1   Band-2   Band-3   Band-4      ...   Band-n
  0.6279   -6.8998   -5.9582   -5.1911   -4.3406   -4.2812   -3.7715   -2.6567   -2.6206   -2.0963   -1.3930   -1.3326   -1.3277   -1.0025   -0.9506   -0.8167    0.4408    0.4860    0.6055    1.0971    1.1053    1.3687    1.3795    1.8363    2.8269    3.0075    3.3709    3.4605    4.7820    5.0436    5.0680    5.2745    6.1799    6.2003    6.5099    8.0409    9.4599    9.9585   10.5401   11.2981   12.5246
  0.6802   -6.6469   -5.9111   -5.2239   -4.3269   -4.2067   -3.6070   -2.7698   -2.7189   -1.8929   -1.4351   -1.4216   -1.2580   -1.0223   -0.7766   -0.6908    0.3449    0.3889    0.5672    1.1516    1.1612    1.4857    1.4939    1.8474    2.8783    3.1218    3.4228    3.5258    4.6205    5.0853    5.1439    5.1991    6.0366    6.2194    6.3987    7.9931    9.4316    9.7829   10.3609   11.0383   12.1559
  0.7325   -6.4066   -5.8812   -5.2480   -4.3054   -4.1570   -3.4390   -2.8671   -2.8037   -1.7216   -1.5288   -1.5223   -1.1268   -1.0901   -0.7273   -0.4162    0.2513    0.3548    0.5716    1.2066    1.2152    1.5353    1.6196    1.9407    2.9357    3.2231    3.4489    3.5795    4.3849    5.1057    5.1569    5.2254    5.5912    6.2663    6.5928    7.9849    9.2355    9.5378   10.3702   10.8787   11.8792
  0.7849   -6.1919   -5.8648   -5.2557   -4.2802   -4.1376   -3.2625   -2.9476   -2.8743   -1.6595   -1.5937   -1.5809   -1.1505   -1.0425   -0.6434   -0.2455    0.1667    0.4536    0.6156    1.2578    1.2646    1.5161    1.7518    2.1056    2.9926    3.3106    3.4531    3.6108    4.1692    5.0291    5.1290    5.1821    5.2884    6.3673    6.7784    8.0179    8.9783    9.2532   10.4480   10.7092   11.7829
  0.8372   -6.0187   -5.8575   -5.2397   -4.2558   -4.1469   -3.0751   -3.0109   -2.9299   -1.8177   -1.6490   -1.4691   -1.2005   -1.0183   -0.5225   -0.1850    0.0959    0.6752    0.6753    1.2900    1.3195    1.4902    1.8669    2.2934    3.0432    3.3883    3.4427    3.6146    3.9947    4.8208    4.8214    5.1527    5.3345    6.5309    6.9497    8.0449    8.7327    9.0075   10.4718   10.5003   11.6918
  0.8895   -5.8999   -5.8554   -5.2000   -4.2358   -4.1750   -3.0563   -2.9701   -2.8788   -1.9988   -1.6884   -1.3865   -1.2377   -1.0247   -0.4012   -0.1688    0.0429    0.7223    0.9205    1.3125    1.3649    1.4824    1.9514    2.4736    3.0829    3.4264    3.4656    3.5947    3.8612    4.5250    4.5906    5.1732    5.3655    6.7321    7.0980    7.9859    8.5285    8.8900   10.2154   10.4984   11.6932
  0.9418   -5.8553   -5.8359   -5.1550   -4.2227   -4.2053   -3.0837   -2.9943   -2.6834   -2.1878   -1.7120   -1.3354   -1.2607   -1.0364   -0.3134   -0.1638    0.0100    0.7447    1.1085    1.3258    1.3948    1.4910    1.9978    2.6139    3.1082    3.4127    3.5523    3.5654    3.7564    4.3228    4.4038    5.1871    5.3832    6.9280    7.2061    7.8396    8.3869    8.9033   10.0072   10.4710   11.7840
  0.9942   -5.8555   -5.8165   -5.1348   -4.2186   -4.2182   -3.0929   -3.0024   -2.5589   -2.3108   -1.7198   -1.3181   -1.2684   -1.0414   -0.2814   -0.1624   -0.0011    0.7498    1.1801    1.3301    1.4053    1.4975    2.0109    2.6696    3.1169    3.4073    3.5506    3.6297    3.6785    4.2493    4.3299    5.1920    5.3889    7.0244    7.2475    7.7507    8.3345    8.9315    9.9223   10.4570   11.8514
  0.9942   -5.8555   -5.8165   -5.1348   -4.2186   -4.2182   -3.0929   -3.0024   -2.5589   -2.3108   -1.7198   -1.3181   -1.2684   -1.0414   -0.2814   -0.1624   -0.0011    0.7498    1.1801    1.3301    1.4053    1.4975    2.0109    2.6696    3.1169    3.4073    3.5506    3.6297    3.6785    4.2493    4.3299    5.1920    5.3889    7.0244    7.2475    7.7507    8.3345    8.9315    9.9223   10.4570   11.8514
  1.0465   -5.8390   -5.8011   -5.1234   -4.2160   -4.2058   -3.0982   -3.0121   -2.5744   -2.3461   -1.6720   -1.3914   -1.3241   -0.9188   -0.3125   -0.1504    0.0165    0.6687    1.1550    1.3323    1.4847    1.5077    1.9976    2.6534    3.0799    3.3512    3.6274    3.6493    3.7266    4.2562    4.3574    5.2413    5.4391    7.0341    7.2562    7.7614    8.3461    8.9407    9.9294   10.4599   11.8596
  1.0988   -5.7896   -5.7554   -5.0902   -4.2104   -4.1697   -3.1129   -3.0397   -2.6179   -2.4207   -1.5827   -1.5579   -1.3440   -0.7302   -0.4005   -0.1149    0.0615    0.4987    1.0882    1.3377    1.5389    1.6419    1.9609    2.6198    3.0059    3.2869    3.6234    3.8260    3.8370    4.2791    4.4457    5.3804    5.5824    7.0635    7.2824    7.7936    8.3806    8.9682    9.9500   10.4676   11.8836
  1.1511   -5.7081   -5.6810   -5.0388   -4.2076   -4.1139   -3.1321   -3.0804   -2.6813   -2.4895   -1.7777   -1.4179   -1.3825   -0.5926   -0.4835   -0.0574    0.1087    0.3160    1.0066    1.3424    1.5925    1.7768    1.9122    2.6111    2.9389    3.2447    3.6240    3.9194    4.0713    4.3230    4.6011    5.5889    5.8014    7.1127    7.3257    7.8469    8.4378    9.0137    9.9823   10.4770   11.9207
  1.2035   -5.5958   -5.5808   -4.9756   -4.2153   -4.0456   -3.1480   -3.1251   -2.7557   -2.5238   -1.9676   -1.4454   -1.2743   -0.7402   -0.3228    0.0194    0.1137    0.1508    0.9579    1.3403    1.6688    1.8310    1.8696    2.6752    2.8941    3.2211    3.6337    3.9903    4.3412    4.3920    4.8127    5.8459    6.0762    7.1824    7.3855    7.9205    8.5167    9.0768   10.0228   10.4822   11.9678
  1.2558   -5.4599   -5.4546   -4.9105   -4.2382   -3.9765   -3.1604   -3.1494   -2.8334   -2.5077   -2.1487   -1.5360   -1.1380   -0.9449   -0.1370    0.0154    0.0286    0.1184    0.9874    1.3269    1.7669    1.8070    1.8517    2.8108    2.8716    3.2107    3.6539    4.0450    4.4897    4.6373    5.0593    6.1349    6.3880    7.2745    7.4609    8.0134    8.6164    9.1570   10.0659   10.4735   11.9564
  1.3081   -5.3276   -5.2873   -4.8566   -4.2723   -3.9213   -3.1691   -3.1241   -2.9092   -2.4369   -2.3177   -1.6525   -1.1677   -1.0138   -0.1314   -0.0862    0.0447    0.2278    1.0917    1.3063    1.7492    1.8670    1.8841    2.8672    2.9760    3.2097    3.6836    4.0909    4.6189    4.9511    5.3230    6.4430    6.7178    7.3946    7.5504    8.1236    8.7348    9.2534   10.1025   10.4377   11.8341
  1.3604   -5.2007   -5.0972   -4.8274   -4.3007   -3.8918   -3.1347   -3.0664   -2.9792   -2.4721   -2.3174   -1.7864   -1.3985   -0.9002   -0.3387   -0.1541    0.2211    0.3518    1.2388    1.2896    1.6912    1.9117    2.0167    2.8768    3.1382    3.2151    3.7203    4.1313    4.7802    5.2746    5.5914    6.7603    7.0399    7.5573    7.6517    8.2482    8.8693    9.3650   10.1199   10.3613   11.7022
  1.4128   -5.1070   -4.8890   -4.8312   -4.2927   -3.8892   -3.0677   -3.0203   -2.9866   -2.6087   -2.1632   -1.9244   -1.6306   -0.7886   -0.5662   -0.1876    0.3925    0.4878    1.2874    1.4041    1.6490    1.9775    2.1602    2.8968    3.2248    3.2823    3.7602    4.1670    4.9708    5.6008    5.8549    7.0782    7.3165    7.7613    7.7916    8.3821    9.0151    9.4904   10.1043   10.2387   11.5706
  1.4651   -5.0744   -4.8675   -4.6692   -4.2184   -3.9054   -3.1061   -2.9114   -2.8938   -2.7238   -2.0487   -1.9937   -1.8588   -0.7984   -0.6620   -0.1817    0.5598    0.6345    1.3040    1.5736    1.6278    2.0564    2.3095    2.9248    3.2373    3.4033    3.7991    4.1963    5.1843    5.9235    6.1045    7.3885    7.5307    7.8733    8.1057    8.5165    9.1642    9.6269   10.0505   10.0784   11.4769
  1.5174   -5.1018   -4.9282   -4.4462   -4.0798   -3.9310   -3.1509   -2.8755   -2.8125   -2.7086   -2.1389   -2.0791   -1.8292   -1.0247   -0.4983   -0.1272    0.7238    0.7913    1.3381    1.6271    1.7390    2.1418    2.4592    2.9588    3.2511    3.5012    3.8316    4.2163    5.4118    6.2369    6.3297    7.6816    7.7087    7.9785    8.4653    8.6373    9.3035    9.7702    9.9001    9.9754   11.4246
  1.5697   -5.1645   -5.0032   -4.2318   -3.9586   -3.9053   -3.1857   -2.9017   -2.8681   -2.4985   -2.2883   -2.1849   -1.6841   -1.2343   -0.2789   -0.0146    0.8851    0.9580    1.3855    1.6433    1.8950    2.2284    2.6036    2.9968    3.2652    3.5771    3.8516    4.2231    5.6431    6.5168    6.5357    7.8722    7.9445    8.0625    8.7254    8.8397    9.4143    9.7294    9.9115    9.9190   11.3687
  1.6221   -5.2411   -5.0837   -4.0410   -3.9832   -3.7228   -3.2087   -2.9812   -2.8826   -2.4831   -2.2925   -2.2016   -1.5593   -1.4091    0.0019    0.1603    1.0436    1.1349    1.4409    1.6717    2.0379    2.3113    2.7373    3.0367    3.2785    3.6316    3.8524    4.2114    5.8679    6.6481    6.8150    8.0281    8.1059    8.1554    8.7694    9.2124    9.4826    9.5933    9.9207   10.0334   11.2430
  1.6744   -5.3192   -5.1629   -4.0016   -3.8887   -3.5522   -3.2194   -3.0878   -2.8539   -2.6556   -2.2126   -2.1469   -1.5038   -1.4449    0.3357    0.3922    1.1984    1.3228    1.4995    1.7072    2.1652    2.3869    2.8554    3.0757    3.2899    3.6639    3.8274    4.1751    6.0755    6.7051    7.0703    8.0925    8.1757    8.2796    8.7871    9.5119    9.5284    9.5727    9.9837   10.1085   11.0309
  1.7267   -5.3917   -5.2360   -4.0123   -3.7809   -3.4068   -3.2177   -3.2014   -2.8697   -2.7194   -2.2287   -2.1368   -1.4546   -1.3300    0.6676    0.7072    1.3473    1.5221    1.5577    1.7451    2.2750    2.4523    2.9538    3.1105    3.2983    3.6720    3.7708    4.1075    6.2549    6.6799    7.2970    8.0232    8.2862    8.3110    8.8135    9.4849    9.6109    9.9093   10.0678   10.1222   10.8317
  1.7790   -5.4547   -5.2994   -4.0146   -3.7087   -3.3100   -3.2932   -3.2044   -3.0002   -2.6208   -2.2502   -2.2272   -1.3071   -1.2116    0.9668    1.0972    1.4866    1.6156    1.7324    1.7816    2.3659    2.5059    3.0304    3.1373    3.3023    3.6539    3.6793    4.0027    6.3953    6.5868    7.4896    7.9210    8.1954    8.4279    8.8646    9.4906    9.7646   10.0647   10.1080   10.2443   10.7388
  1.8314   -5.5057   -5.3507   -4.0094   -3.6564   -3.4061   -3.2118   -3.1817   -3.1269   -2.5029   -2.3404   -2.2729   -1.1480   -1.0961    1.2654    1.4620    1.6104    1.6971    1.8132    1.9502    2.4367    2.5466    3.0854    3.1514    3.3014    3.5548    3.6094    3.8589    6.4595    6.4886    7.6369    7.8214    8.0714    8.5204    8.9290    9.5038    9.9773   10.0281   10.0797   10.5040   10.7786
  1.8837   -5.5430   -5.3885   -3.9993   -3.6117   -3.4832   -3.2346   -3.1589   -3.1543   -2.4416   -2.4013   -2.2925   -1.0177   -0.9968    1.5320    1.6269    1.7103    1.8373    1.9532    2.1650    2.4857    2.5731    3.1209    3.1454    3.2966    3.4080    3.5460    3.6868    6.3366    6.5359    7.6744    7.8071    7.9672    8.5844    8.9853    9.5113   10.0042   10.0352   10.2303   10.6392   10.8025
  1.9360   -5.5657   -5.4115   -3.9891   -3.5721   -3.5344   -3.3154   -3.1303   -3.1297   -2.5121   -2.3338   -2.3057   -0.9340   -0.9292    1.6639    1.7254    1.7762    1.8517    2.2722    2.3508    2.5088    2.5800    3.1055    3.1402    3.2690    3.2910    3.4847    3.5303    6.2497    6.5509    7.6293    7.8626    7.9047    8.6206    9.0200    9.5126   10.0000   10.0091   10.5123   10.6238   10.7744
  1.9883   -5.5734   -5.4193   -3.9847   -3.5526   -3.5526   -3.3490   -3.1204   -3.1204   -2.5379   -2.3103   -2.3103   -0.9052   -0.9052    1.6735    1.7994    1.7994    1.8548    2.4444    2.4444    2.5030    2.5607    3.0626    3.1461    3.2045    3.2885    3.4581    3.4671    6.2186    6.5529    7.6100    7.8848    7.8848    8.6320    9.0311    9.5123   10.0018   10.0018   10.6020   10.7664   10.7668
