 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  3.3406  2.53737952E+00  2.53737952E+00  2.53737952E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.4048  2.65049413E+00  2.65049413E+00  2.65049413E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.4691  2.78122711E+00  2.78122711E+00  2.78122711E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.5333  2.90234421E+00  2.90234421E+00  2.90234421E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.5976  2.97386770E+00  2.97386770E+00  2.97386770E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.6618  2.96635526E+00  2.96635526E+00  2.96635526E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.7261  2.88448934E+00  2.88448934E+00  2.88448934E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.7903  2.77020933E+00  2.77020933E+00  2.77020933E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.8545  2.67414006E+00  2.67414006E+00  2.67414006E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.9188  2.61687296E+00  2.61687296E+00  2.61687296E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.9830  2.58343076E+00  2.58343076E+00  2.58343076E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.0473  2.55167983E+00  2.55167983E+00  2.55167983E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.1115  2.51833471E+00  2.51833471E+00  2.51833471E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.1757  2.50143070E+00  2.50143070E+00  2.50143070E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.2400  2.52149024E+00  2.52149024E+00  2.52149024E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.3042  2.57869859E+00  2.57869859E+00  2.57869859E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.3685  2.64660158E+00  2.64660158E+00  2.64660158E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.4327  2.68856573E+00  2.68856573E+00  2.68856573E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.4970  2.68596865E+00  2.68596865E+00  2.68596865E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.5612  2.65723905E+00  2.65723905E+00  2.65723905E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.6254  2.64574705E+00  2.64574705E+00  2.64574705E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.6897  2.68253496E+00  2.68253496E+00  2.68253496E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.7539  2.76610286E+00  2.76610286E+00  2.76610286E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.8182  2.87716602E+00  2.87716602E+00  2.87716602E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.8824  3.00000130E+00  3.00000130E+00  3.00000130E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.9467  3.13055028E+00  3.13055028E+00  3.13055028E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.0109  3.27584098E+00  3.27584098E+00  3.27584098E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.0751  3.44841181E+00  3.44841181E+00  3.44841181E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.1394  3.65149231E+00  3.65149231E+00  3.65149231E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.2036  3.86335072E+00  3.86335072E+00  3.86335072E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.2679  4.04028069E+00  4.04028069E+00  4.04028069E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.3321  4.14079325E+00  4.14079325E+00  4.14079325E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.3964  4.15165295E+00  4.15165295E+00  4.15165295E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.4606  4.09489392E+00  4.09489392E+00  4.09489392E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.5248  4.00989402E+00  4.00989402E+00  4.00989402E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.5891  3.92619813E+00  3.92619813E+00  3.92619813E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.6533  3.85241518E+00  3.85241518E+00  3.85241518E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.7176  3.78724408E+00  3.78724408E+00  3.78724408E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.7818  3.73202934E+00  3.73202934E+00  3.73202934E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.8460  3.68959931E+00  3.68959931E+00  3.68959931E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.9103  3.65667587E+00  3.65667587E+00  3.65667587E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.9745  3.62410092E+00  3.62410092E+00  3.62410092E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.0388  3.58463752E+00  3.58463752E+00  3.58463752E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.1030  3.53795656E+00  3.53795656E+00  3.53795656E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.1673  3.48768321E+00  3.48768321E+00  3.48768321E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.2315  3.43513955E+00  3.43513955E+00  3.43513955E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.2957  3.37701108E+00  3.37701108E+00  3.37701108E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.3600  3.30851820E+00  3.30851820E+00  3.30851820E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.4242  3.22915391E+00  3.22915391E+00  3.22915391E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.4885  3.14544059E+00  3.14544059E+00  3.14544059E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.5527  3.06823754E+00  3.06823754E+00  3.06823754E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.6170  3.00538612E+00  3.00538612E+00  3.00538612E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.6812  2.95619839E+00  2.95619839E+00  2.95619839E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.7454  2.91350393E+00  2.91350393E+00  2.91350393E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.8097  2.87143403E+00  2.87143403E+00  2.87143403E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.8739  2.83058879E+00  2.83058879E+00  2.83058879E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.9382  2.79545330E+00  2.79545330E+00  2.79545330E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.0024  2.76755679E+00  2.76755679E+00  2.76755679E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.0666  2.74191151E+00  2.74191151E+00  2.74191151E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.1309  2.70989448E+00  2.70989448E+00  2.70989448E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.1951  2.66395073E+00  2.66395073E+00  2.66395073E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.2594  2.60093545E+00  2.60093545E+00  2.60093545E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.3236  2.52323283E+00  2.52323283E+00  2.52323283E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.3879  2.43885106E+00  2.43885106E+00  2.43885106E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.4521  2.35994201E+00  2.35994201E+00  2.35994201E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.5163  2.29882410E+00  2.29882410E+00  2.29882410E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.5806  2.26130517E+00  2.26130517E+00  2.26130517E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.6448  2.24090287E+00  2.24090287E+00  2.24090287E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.7091  2.22103400E+00  2.22103400E+00  2.22103400E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.7733  2.18516184E+00  2.18516184E+00  2.18516184E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.8376  2.12780916E+00  2.12780916E+00  2.12780916E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.9018  2.05770648E+00  2.05770648E+00  2.05770648E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  7.9660  1.99077256E+00  1.99077256E+00  1.99077256E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.0303  1.93742418E+00  1.93742418E+00  1.93742418E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.0945  1.89694631E+00  1.89694631E+00  1.89694631E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.1588  1.86431127E+00  1.86431127E+00  1.86431127E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.2230  1.83898333E+00  1.83898333E+00  1.83898333E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.2873  1.82553421E+00  1.82553421E+00  1.82553421E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.3515  1.82679696E+00  1.82679696E+00  1.82679696E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.4157  1.83746029E+00  1.83746029E+00  1.83746029E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.4800  1.84520652E+00  1.84520652E+00  1.84520652E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.5442  1.83907117E+00  1.83907117E+00  1.83907117E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.6085  1.81766836E+00  1.81766836E+00  1.81766836E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.6727  1.78929748E+00  1.78929748E+00  1.78929748E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.7369  1.76296745E+00  1.76296745E+00  1.76296745E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.8012  1.73926069E+00  1.73926069E+00  1.73926069E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.8654  1.71121668E+00  1.71121668E+00  1.71121668E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  8.9297  1.67202581E+00  1.67202581E+00  1.67202581E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
