 #Energy    XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
  3.3406  8.59119327E+05  8.59119327E+05  8.59119327E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.4048  9.14664946E+05  9.14664946E+05  9.14664946E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.4691  9.77905422E+05  9.77905422E+05  9.77905422E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.5333  1.03937678E+06  1.03937678E+06  1.03937678E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.5976  1.08437151E+06  1.08437151E+06  1.08437151E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.6618  1.10093420E+06  1.10093420E+06  1.10093420E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.7261  1.08934897E+06  1.08934897E+06  1.08934897E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.7903  1.06421593E+06  1.06421593E+06  1.06421593E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.8545  1.04471007E+06  1.04471007E+06  1.04471007E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.9188  1.03939188E+06  1.03939188E+06  1.03939188E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  3.9830  1.04291932E+06  1.04291932E+06  1.04291932E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.0473  1.04673117E+06  1.04673117E+06  1.04673117E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.1115  1.04943931E+06  1.04943931E+06  1.04943931E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.1757  1.05867181E+06  1.05867181E+06  1.05867181E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.2400  1.08359434E+06  1.08359434E+06  1.08359434E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.3042  1.12495878E+06  1.12495878E+06  1.12495878E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.3685  1.17182967E+06  1.17182967E+06  1.17182967E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.4327  1.20790445E+06  1.20790445E+06  1.20790445E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.4970  1.22424238E+06  1.22424238E+06  1.22424238E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.5612  1.22843823E+06  1.22843823E+06  1.22843823E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.6254  1.24034128E+06  1.24034128E+06  1.24034128E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.6897  1.27507002E+06  1.27507002E+06  1.27507002E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.7539  1.33279068E+06  1.33279068E+06  1.33279068E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.8182  1.40505501E+06  1.40505501E+06  1.40505501E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.8824  1.48456214E+06  1.48456214E+06  1.48456214E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.9467  1.56956692E+06  1.56956692E+06  1.56956692E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.0109  1.66372725E+06  1.66372725E+06  1.66372725E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.0751  1.77381086E+06  1.77381086E+06  1.77381086E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.1394  1.90206955E+06  1.90206955E+06  1.90206955E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.2036  2.03756571E+06  2.03756571E+06  2.03756571E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.2679  2.15721107E+06  2.15721107E+06  2.15721107E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.3321  2.23782135E+06  2.23782135E+06  2.23782135E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.3964  2.27074704E+06  2.27074704E+06  2.27074704E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.4606  2.26634802E+06  2.26634802E+06  2.26634802E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.5248  2.24539648E+06  2.24539648E+06  2.24539648E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.5891  2.22411722E+06  2.22411722E+06  2.22411722E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.6533  2.20738811E+06  2.20738811E+06  2.20738811E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.7176  2.19472770E+06  2.19472770E+06  2.19472770E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.7818  2.18701467E+06  2.18701467E+06  2.18701467E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.8460  2.18615825E+06  2.18615825E+06  2.18615825E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
