 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  4.4970  4.95318122E-02  4.95318122E-02  4.95318122E-02             NaN             NaN             NaN
  4.5612  4.96642512E-02  4.96642512E-02  4.96642512E-02             NaN             NaN             NaN
  4.6254  4.85374651E-02  4.85374651E-02  4.85374651E-02             NaN             NaN             NaN
  4.6897  4.65892649E-02  4.65892649E-02  4.65892649E-02             NaN             NaN             NaN
  4.7539  4.46376453E-02  4.46376453E-02  4.46376453E-02             NaN             NaN             NaN
  4.8182  4.30607376E-02  4.30607376E-02  4.30607376E-02             NaN             NaN             NaN
  4.8824  4.18127012E-02  4.18127012E-02  4.18127012E-02             NaN             NaN             NaN
  4.9467  4.07022742E-02  4.07022742E-02  4.07022742E-02             NaN             NaN             NaN
  5.0109  3.95521728E-02  3.95521728E-02  3.95521728E-02             NaN             NaN             NaN
  5.0751  3.83040080E-02  3.83040080E-02  3.83040080E-02             NaN             NaN             NaN
  5.1394  3.70900834E-02  3.70900834E-02  3.70900834E-02             NaN             NaN             NaN
  5.2036  3.61626400E-02  3.61626400E-02  3.61626400E-02             NaN             NaN             NaN
  5.2679  3.57511082E-02  3.57511082E-02  3.57511082E-02             NaN             NaN             NaN
  5.3321  3.60017897E-02  3.60017897E-02  3.60017897E-02             NaN             NaN             NaN
  5.3964  3.69619207E-02  3.69619207E-02  3.69619207E-02             NaN             NaN             NaN
  5.4606  3.85151602E-02  3.85151602E-02  3.85151602E-02             NaN             NaN             NaN
  5.5248  4.03496731E-02  4.03496731E-02  4.03496731E-02             NaN             NaN             NaN
  5.5891  4.21345566E-02  4.21345566E-02  4.21345566E-02             NaN             NaN             NaN
  5.6533  4.37499321E-02  4.37499321E-02  4.37499321E-02             NaN             NaN             NaN
  5.7176  4.52178755E-02  4.52178755E-02  4.52178755E-02             NaN             NaN             NaN
  5.7818  4.64876005E-02  4.64876005E-02  4.64876005E-02             NaN             NaN             NaN
  5.8460  4.74430979E-02  4.74430979E-02  4.74430979E-02             NaN             NaN             NaN
  5.9103  4.81000164E-02  4.81000164E-02  4.81000164E-02             NaN             NaN             NaN
  5.9745  4.86530973E-02  4.86530973E-02  4.86530973E-02             NaN             NaN             NaN
  6.0388  4.93090263E-02  4.93090263E-02  4.93090263E-02             NaN             NaN             NaN
  6.1030  5.01285097E-02  5.01285097E-02  5.01285097E-02             NaN             NaN             NaN
  6.1673  5.10374296E-02  5.10374296E-02  5.10374296E-02             NaN             NaN             NaN
  6.2315  5.19809542E-02  5.19809542E-02  5.19809542E-02             NaN             NaN             NaN
  6.2957  5.30617705E-02  5.30617705E-02  5.30617705E-02             NaN             NaN             NaN
  6.3600  5.45427760E-02  5.45427760E-02  5.45427760E-02             NaN             NaN             NaN
  6.4242  5.66886845E-02  5.66886845E-02  5.66886845E-02             NaN             NaN             NaN
  6.4885  5.95332290E-02  5.95332290E-02  5.95332290E-02             NaN             NaN             NaN
  6.5527  6.27099559E-02  6.27099559E-02  6.27099559E-02             NaN             NaN             NaN
  6.6170  6.56288647E-02  6.56288647E-02  6.56288647E-02             NaN             NaN             NaN
  6.6812  6.79658763E-02  6.79658763E-02  6.79658763E-02             NaN             NaN             NaN
  6.7454  6.99013209E-02  6.99013209E-02  6.99013209E-02             NaN             NaN             NaN
  6.8097  7.18016447E-02  7.18016447E-02  7.18016447E-02             NaN             NaN             NaN
  6.8739  7.37491210E-02  7.37491210E-02  7.37491210E-02             NaN             NaN             NaN
  6.9382  7.54327148E-02  7.54327148E-02  7.54327148E-02             NaN             NaN             NaN
  7.0024  7.65115880E-02  7.65115880E-02  7.65115880E-02             NaN             NaN             NaN
  7.0666  7.70441534E-02  7.70441534E-02  7.70441534E-02             NaN             NaN             NaN
  7.1309  7.75058540E-02  7.75058540E-02  7.75058540E-02             NaN             NaN             NaN
  7.1951  7.85853971E-02  7.85853971E-02  7.85853971E-02             NaN             NaN             NaN
  7.2594  8.10143720E-02  8.10143720E-02  8.10143720E-02             NaN             NaN             NaN
  7.3236  8.54598209E-02  8.54598209E-02  8.54598209E-02             NaN             NaN             NaN
  7.3879  9.22273004E-02  9.22273004E-02  9.22273004E-02             NaN             NaN             NaN
  7.4521  1.00708354E-01  1.00708354E-01  1.00708354E-01             NaN             NaN             NaN
  7.5163  1.09038048E-01  1.09038048E-01  1.09038048E-01             NaN             NaN             NaN
  7.5806  1.15018693E-01  1.15018693E-01  1.15018693E-01             NaN             NaN             NaN
  7.6448  1.18072359E-01  1.18072359E-01  1.18072359E-01             NaN             NaN             NaN
  7.7091  1.19813879E-01  1.19813879E-01  1.19813879E-01             NaN             NaN             NaN
  7.7733  1.22857906E-01  1.22857906E-01  1.22857906E-01             NaN             NaN             NaN
  7.8376  1.29402388E-01  1.29402388E-01  1.29402388E-01             NaN             NaN             NaN
  7.9018  1.40060542E-01  1.40060542E-01  1.40060542E-01             NaN             NaN             NaN
  7.9660  1.52979931E-01  1.52979931E-01  1.52979931E-01             NaN             NaN             NaN
  8.0303  1.65150606E-01  1.65150606E-01  1.65150606E-01             NaN             NaN             NaN
  8.0945  1.75241217E-01  1.75241217E-01  1.75241217E-01             NaN             NaN             NaN
  8.1588  1.83685402E-01  1.83685402E-01  1.83685402E-01             NaN             NaN             NaN
  8.2230  1.90446965E-01  1.90446965E-01  1.90446965E-01             NaN             NaN             NaN
  8.2873  1.94266742E-01  1.94266742E-01  1.94266742E-01             NaN             NaN             NaN
  8.3515  1.94391501E-01  1.94391501E-01  1.94391501E-01             NaN             NaN             NaN
  8.4157  1.92190287E-01  1.92190287E-01  1.92190287E-01             NaN             NaN             NaN
  8.4800  1.90429537E-01  1.90429537E-01  1.90429537E-01             NaN             NaN             NaN
  8.5442  1.91433498E-01  1.91433498E-01  1.91433498E-01             NaN             NaN             NaN
  8.6085  1.95817039E-01  1.95817039E-01  1.95817039E-01             NaN             NaN             NaN
  8.6727  2.02182406E-01  2.02182406E-01  2.02182406E-01             NaN             NaN             NaN
  8.7369  2.08465875E-01  2.08465875E-01  2.08465875E-01             NaN             NaN             NaN
  8.8012  2.14311319E-01  2.14311319E-01  2.14311319E-01             NaN             NaN             NaN
  8.8654  2.21467986E-01  2.21467986E-01  2.21467986E-01             NaN             NaN             NaN
  8.9297  2.32135562E-01  2.32135562E-01  2.32135562E-01             NaN             NaN             NaN
  8.9939  2.46855678E-01  2.46855678E-01  2.46855678E-01             NaN             NaN             NaN
  9.0582  2.62592566E-01  2.62592566E-01  2.62592566E-01             NaN             NaN             NaN
  9.1224  2.73730100E-01  2.73730100E-01  2.73730100E-01             NaN             NaN             NaN
  9.1866  2.78218733E-01  2.78218733E-01  2.78218733E-01             NaN             NaN             NaN
  9.2509  2.80331026E-01  2.80331026E-01  2.80331026E-01             NaN             NaN             NaN
  9.3151  2.85284588E-01  2.85284588E-01  2.85284588E-01             NaN             NaN             NaN
  9.3794  2.93860057E-01  2.93860057E-01  2.93860057E-01             NaN             NaN             NaN
  9.4436  3.01105510E-01  3.01105510E-01  3.01105510E-01             NaN             NaN             NaN
  9.5079  3.00346594E-01  3.00346594E-01  3.00346594E-01             NaN             NaN             NaN
  9.5721  2.90585393E-01  2.90585393E-01  2.90585393E-01             NaN             NaN             NaN
  9.6363  2.76900568E-01  2.76900568E-01  2.76900568E-01             NaN             NaN             NaN
  9.7006  2.64508625E-01  2.64508625E-01  2.64508625E-01             NaN             NaN             NaN
  9.7648  2.55533702E-01  2.55533702E-01  2.55533702E-01             NaN             NaN             NaN
  9.8291  2.49732881E-01  2.49732881E-01  2.49732881E-01             NaN             NaN             NaN
  9.8933  2.46042516E-01  2.46042516E-01  2.46042516E-01             NaN             NaN             NaN
  9.9576  2.43777495E-01  2.43777495E-01  2.43777495E-01             NaN             NaN             NaN
 10.0218  2.42593778E-01  2.42593778E-01  2.42593778E-01             NaN             NaN             NaN
 10.0860  2.41386311E-01  2.41386311E-01  2.41386311E-01             NaN             NaN             NaN
 10.1503  2.37812567E-01  2.37812567E-01  2.37812567E-01             NaN             NaN             NaN
 10.2145  2.30027001E-01  2.30027001E-01  2.30027001E-01             NaN             NaN             NaN
 10.2788  2.19127942E-01  2.19127942E-01  2.19127942E-01             NaN             NaN             NaN
 10.3430  2.08476144E-01  2.08476144E-01  2.08476144E-01             NaN             NaN             NaN
 10.4072  2.01053073E-01  2.01053073E-01  2.01053073E-01             NaN             NaN             NaN
 10.4715  1.98406165E-01  1.98406165E-01  1.98406165E-01             NaN             NaN             NaN
 10.5357  2.00876532E-01  2.00876532E-01  2.00876532E-01             NaN             NaN             NaN
 10.6000  2.07626420E-01  2.07626420E-01  2.07626420E-01             NaN             NaN             NaN
