 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.16912000E+01  0.45835376E+06  0.45835376E+06  0.45835376E+06  0.53408207E+04  0.53408207E+04  0.53408207E+04
  0.17264000E+01  0.45870404E+06  0.45870404E+06  0.45870404E+06  0.56554170E+04  0.56554170E+04  0.56554170E+04
  0.17616000E+01  0.45572551E+06  0.45572551E+06  0.45572551E+06  0.61850257E+04  0.61850257E+04  0.61850257E+04
  0.17969000E+01  0.45037086E+06  0.45037086E+06  0.45037086E+06  0.64217894E+04  0.64217894E+04  0.64217894E+04
  0.18321000E+01  0.44415668E+06  0.44415668E+06  0.44415668E+06  0.65930623E+04  0.65930623E+04  0.65930623E+04
  0.18673000E+01  0.43918542E+06  0.43918542E+06  0.43918542E+06  0.67468300E+04  0.67468300E+04  0.67468300E+04
  0.19026000E+01  0.43767721E+06  0.43767721E+06  0.43767721E+06  0.67698135E+04  0.67698135E+04  0.67698135E+04
  0.19378000E+01  0.44135736E+06  0.44135736E+06  0.44135736E+06  0.62186108E+04  0.62186108E+04  0.62186108E+04
  0.19730000E+01  0.45110598E+06  0.45110598E+06  0.45110598E+06  0.56560815E+04  0.56560815E+04  0.56560815E+04
  0.20083000E+01  0.46666357E+06  0.46666357E+06  0.46666357E+06  0.45740065E+04  0.45740065E+04  0.45740065E+04
  0.20435000E+01  0.48666827E+06  0.48666827E+06  0.48666827E+06  0.30142876E+04  0.30142876E+04  0.30142876E+04
  0.20787000E+01  0.50910205E+06  0.50910205E+06  0.50910205E+06  0.95881000E+03  0.95881000E+03  0.95881000E+03
  0.21140000E+01  0.53169237E+06  0.53169237E+06  0.53169237E+06  0.21426368E+04  0.21426368E+04  0.21426368E+04
  0.21492000E+01  0.55233439E+06  0.55233439E+06  0.55233439E+06  0.33092352E+04  0.33092352E+04  0.33092352E+04
  0.21844000E+01  0.56970532E+06  0.56970532E+06  0.56970532E+06  0.47095787E+04  0.47095787E+04  0.47095787E+04
  0.22197000E+01  0.58354355E+06  0.58354355E+06  0.58354355E+06  0.57449759E+04  0.57449759E+04  0.57449759E+04
  0.22549000E+01  0.59469117E+06  0.59469117E+06  0.59469117E+06  0.67800102E+04  0.67800102E+04  0.67800102E+04
  0.22901000E+01  0.60500237E+06  0.60500237E+06  0.60500237E+06  0.76570344E+04  0.76570344E+04  0.76570344E+04
  0.23254000E+01  0.61669984E+06  0.61669984E+06  0.61669984E+06  0.83105510E+04  0.83105510E+04  0.83105510E+04
  0.23606000E+01  0.63150708E+06  0.63150708E+06  0.63150708E+06  0.87908905E+04  0.87908905E+04  0.87908905E+04
  0.23958000E+01  0.65017883E+06  0.65017883E+06  0.65017883E+06  0.89743328E+04  0.89743328E+04  0.89743328E+04
  0.24311000E+01  0.67216375E+06  0.67216375E+06  0.67216375E+06  0.89423777E+04  0.89423777E+04  0.89423777E+04
  0.24663000E+01  0.69569502E+06  0.69569502E+06  0.69569502E+06  0.86667470E+04  0.86667470E+04  0.86667470E+04
  0.25015000E+01  0.71842282E+06  0.71842282E+06  0.71842282E+06  0.84175886E+04  0.84175886E+04  0.84175886E+04
  0.25368000E+01  0.73791964E+06  0.73791964E+06  0.73791964E+06  0.77603904E+04  0.77603904E+04  0.77603904E+04
  0.25720000E+01  0.75215957E+06  0.75215957E+06  0.75215957E+06  0.74297739E+04  0.74297739E+04  0.74297739E+04
  0.26072000E+01  0.76015999E+06  0.76015999E+06  0.76015999E+06  0.66610857E+04  0.66610857E+04  0.66610857E+04
  0.26424000E+01  0.76217504E+06  0.76217504E+06  0.76217504E+06  0.61028661E+04  0.61028661E+04  0.61028661E+04
  0.26777000E+01  0.75979856E+06  0.75979856E+06  0.75979856E+06  0.55858203E+04  0.55858203E+04  0.55858203E+04
  0.27129000E+01  0.75556585E+06  0.75556585E+06  0.75556585E+06  0.56592493E+04  0.56592493E+04  0.56592493E+04
  0.27481000E+01  0.75245052E+06  0.75245052E+06  0.75245052E+06  0.50619243E+04  0.50619243E+04  0.50619243E+04
  0.27834000E+01  0.75292404E+06  0.75292404E+06  0.75292404E+06  0.51269460E+04  0.51269460E+04  0.51269460E+04
  0.28186000E+01  0.75814597E+06  0.75814597E+06  0.75814597E+06  0.47826786E+04  0.47826786E+04  0.47826786E+04
  0.28538000E+01  0.76784470E+06  0.76784470E+06  0.76784470E+06  0.41727046E+04  0.41727046E+04  0.41727046E+04
  0.28891000E+01  0.78048761E+06  0.78048761E+06  0.78048761E+06  0.35863427E+04  0.35863427E+04  0.35863427E+04
  0.29243000E+01  0.79377335E+06  0.79377335E+06  0.79377335E+06  0.23300846E+04  0.23300846E+04  0.23300846E+04
  0.29595000E+01  0.80546708E+06  0.80546708E+06  0.80546708E+06  0.13650831E+04  0.13650831E+04  0.13650831E+04
  0.29948000E+01  0.81391555E+06  0.81391555E+06  0.81391555E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30300000E+01  0.81837931E+06  0.81837931E+06  0.81837931E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30652000E+01  0.81935416E+06  0.81935416E+06  0.81935416E+06  0.10673478E+04  0.10673478E+04  0.10673478E+04
  0.31005000E+01  0.81835532E+06  0.81835532E+06  0.81835532E+06  0.10796397E+04  0.10796397E+04  0.10796397E+04
  0.31357000E+01  0.81746527E+06  0.81746527E+06  0.81746527E+06  0.20454565E+04  0.20454565E+04  0.20454565E+04
  0.31709000E+01  0.81893795E+06  0.81893795E+06  0.81893795E+06  0.20684179E+04  0.20684179E+04  0.20684179E+04
  0.32062000E+01  0.82451491E+06  0.82451491E+06  0.82451491E+06  0.29115971E+04  0.29115971E+04  0.29115971E+04
  0.32414000E+01  0.83498838E+06  0.83498838E+06  0.83498838E+06  0.29435628E+04  0.29435628E+04  0.29435628E+04
  0.32766000E+01  0.85025782E+06  0.85025782E+06  0.85025782E+06  0.41499737E+04  0.41499737E+04  0.41499737E+04
  0.33119000E+01  0.86946506E+06  0.86946506E+06  0.86946506E+06  0.41946829E+04  0.41946829E+04  0.41946829E+04
  0.33471000E+01  0.89130970E+06  0.89130970E+06  0.89130970E+06  0.53639198E+04  0.53639198E+04  0.53639198E+04
  0.33823000E+01  0.91465288E+06  0.91465288E+06  0.91465288E+06  0.54203298E+04  0.54203298E+04  0.54203298E+04
  0.34176000E+01  0.93881406E+06  0.93881406E+06  0.93881406E+06  0.60489476E+04  0.60489476E+04  0.60489476E+04
  0.34528000E+01  0.96358453E+06  0.96358453E+06  0.96358453E+06  0.61112495E+04  0.61112495E+04  0.61112495E+04
  0.34880000E+01  0.98926819E+06  0.98926819E+06  0.98926819E+06  0.67933682E+04  0.67933682E+04  0.67933682E+04
  0.35233000E+01  0.10161750E+07  0.10161750E+07  0.10161750E+07  0.64239481E+04  0.64239481E+04  0.64239481E+04
  0.35585000E+01  0.10440618E+07  0.10440618E+07  0.10440618E+07  0.72134088E+04  0.72134088E+04  0.72134088E+04
  0.35937000E+01  0.10719432E+07  0.10719432E+07  0.10719432E+07  0.69313667E+04  0.69313667E+04  0.69313667E+04
  0.36290000E+01  0.10979806E+07  0.10979806E+07  0.10979806E+07  0.69994517E+04  0.69994517E+04  0.69994517E+04
  0.36642000E+01  0.11197225E+07  0.11197225E+07  0.11197225E+07  0.67493553E+04  0.67493553E+04  0.67493553E+04
  0.36994000E+01  0.11348529E+07  0.11348529E+07  0.11348529E+07  0.68141927E+04  0.68141927E+04  0.68141927E+04
  0.37347000E+01  0.11417940E+07  0.11417940E+07  0.11417940E+07  0.55089111E+04  0.55089111E+04  0.55089111E+04
  0.37699000E+01  0.11401812E+07  0.11401812E+07  0.11401812E+07  0.55608333E+04  0.55608333E+04  0.55608333E+04
  0.38051000E+01  0.11313635E+07  0.11313635E+07  0.11313635E+07  0.42372345E+04  0.42372345E+04  0.42372345E+04
