     #Energy      Si_all        Si_s        Si_p        Si_d
    -3.81673     0.37500     0.06500     0.31000     0.00000
    -3.72973     0.36554     0.06434     0.30120     0.00000
    -3.64373     0.37144     0.06344     0.30800     0.00000
    -3.55673     0.37564     0.06244     0.31320     0.00000
    -3.47073     0.38416     0.06136     0.32280     0.00000
    -3.38373     0.39120     0.06000     0.33120     0.00000
    -3.29773     0.40306     0.05866     0.34440     0.00000
    -3.21073     0.41578     0.05718     0.35860     0.00000
    -3.12473     0.43406     0.05566     0.37840     0.00000
    -3.03773     0.45664     0.05404     0.40260     0.00000
    -2.95173     0.48808     0.05228     0.43580     0.00000
    -2.86473     0.54080     0.05040     0.49040     0.00000
    -2.77873     0.59030     0.04850     0.54180     0.00000
    -2.69173     0.58252     0.04632     0.53620     0.00000
    -2.60573     0.58152     0.04432     0.53720     0.00000
    -2.51873     0.56714     0.04234     0.52480     0.00000
    -2.43273     0.56670     0.04030     0.52640     0.00000
    -2.34573     0.55320     0.03820     0.51500     0.00000
    -2.25973     0.55272     0.03632     0.51640     0.00000
    -2.17273     0.54158     0.03438     0.50720     0.00000
    -2.08673     0.53674     0.03234     0.50440     0.00000
    -1.99973     0.53038     0.03038     0.50000     0.00000
    -1.91373     0.52294     0.02854     0.49440     0.00000
    -1.82673     0.51736     0.02656     0.49080     0.00000
    -1.74073     0.51266     0.02466     0.48800     0.00000
    -1.65373     0.50576     0.02276     0.48300     0.00000
    -1.56773     0.50346     0.02066     0.48280     0.00000
    -1.48073     0.49748     0.01868     0.47880     0.00000
    -1.39473     0.49128     0.01668     0.47460     0.00000
    -1.30773     0.49197     0.01477     0.47720     0.00000
    -1.22173     0.47801     0.01301     0.46500     0.00000
    -1.13473     0.37499     0.01159     0.36340     0.00000
    -1.04873     0.31671     0.01031     0.30640     0.00000
    -0.96173     0.27770     0.00910     0.26860     0.00000
    -0.87573     0.24860     0.00780     0.24080     0.00000
    -0.78873     0.21765     0.00665     0.21100     0.00000
    -0.70273     0.19639     0.00557     0.19082     0.00000
    -0.61573     0.16999     0.00457     0.16542     0.00000
    -0.52973     0.15221     0.00367     0.14854     0.00000
    -0.44373     0.12867     0.00281     0.12586     0.00000
    -0.35673     0.11378     0.00208     0.11170     0.00000
    -0.27073     0.09137     0.00139     0.08998     0.00000
    -0.18373     0.06768     0.00080     0.06688     0.00000
    -0.09773     0.04816     0.00032     0.04784     0.00000
    -0.01073     0.00000     0.00000     0.00000     0.00000
     0.07527     0.00000     0.00000     0.00000     0.00000
     0.16227     0.00000     0.00000     0.00000     0.00000
     0.24827     0.00000     0.00000     0.00000     0.00000
     0.33527     0.00000     0.00000     0.00000     0.00000
     0.42127     0.00000     0.00000     0.00000     0.00000
     0.50827     0.00000     0.00000     0.00000     0.00000
     0.59427     0.00000     0.00000     0.00000     0.00000
     0.68127     0.01884     0.00997     0.00887     0.00000
     0.76727     0.03947     0.02064     0.01883     0.00000
     0.85427     0.05036     0.02574     0.02462     0.00000
     0.94027     0.06420     0.03202     0.03218     0.00000
     1.02727     0.07396     0.03586     0.03810     0.00000
     1.11327     0.08732     0.04156     0.04576     0.00000
     1.20027     0.09576     0.04428     0.05148     0.00000
     1.28627     0.10744     0.04860     0.05884     0.00000
     1.37327     0.11594     0.05100     0.06494     0.00000
     1.45927     0.12728     0.05484     0.07244     0.00000
     1.54627     0.13872     0.05850     0.08022     0.00000
     1.63227     0.17418     0.08316     0.09102     0.00000
     1.71927     0.19666     0.09484     0.10182     0.00000
     1.80527     0.22506     0.11058     0.11448     0.00000
     1.89227     0.24936     0.12188     0.12748     0.00000
     1.97827     0.28162     0.13770     0.14392     0.00000
     2.06527     0.31918     0.15632     0.16286     0.00000
     2.15127     0.37470     0.18446     0.19024     0.00000
     2.23827     0.46540     0.23280     0.23260     0.00000
     2.32427     0.46720     0.22480     0.24240     0.00000
     2.41127     0.46120     0.21220     0.24900     0.00000
     2.49727     0.44896     0.19756     0.25140     0.00000
     2.58427     0.41374     0.16954     0.24420     0.00000
     2.67027     0.35280     0.14240     0.21040     0.00000
     2.75627     0.33196     0.12956     0.20240     0.00000
     2.84327     0.31012     0.11468     0.19544     0.00000
     2.92927     0.31564     0.11104     0.20460     0.00000
     3.01627     0.29352     0.09580     0.19772     0.00000
     3.10227     0.26744     0.07542     0.19202     0.00000
     3.18927     0.26460     0.06622     0.19838     0.00000
     3.27527     0.46332     0.08952     0.37380     0.00000
     3.36227     0.58598     0.10958     0.47640     0.00000
     3.44827     0.53492     0.10972     0.42520     0.00000
     3.53527     0.43696     0.10516     0.33180     0.00000
     3.62127     0.43398     0.10398     0.33000     0.00000
     3.70827     0.45574     0.10894     0.34680     0.00000
     3.79427     0.47872     0.11932     0.35940     0.00000
     3.88127     0.46444     0.12464     0.33980     0.00000
     3.96727     0.37194     0.08454     0.28740     0.00000
     4.05427     0.32656     0.06756     0.25900     0.00000
     4.14027     0.30558     0.05978     0.24580     0.00000
     4.22727     0.29144     0.05764     0.23380     0.00000
     4.31327     0.29826     0.06066     0.23760     0.00000
     4.40027     0.30810     0.06410     0.24400     0.00000
     4.48627     0.35392     0.07532     0.27860     0.00000
     4.57327     0.37054     0.07834     0.29220     0.00000
     4.65927     0.35033     0.08113     0.26920     0.00000
     4.74627     0.33198     0.08098     0.25100     0.00000
     4.83227     0.34037     0.08197     0.25840     0.00000
     4.91927     0.34820     0.08480     0.26340     0.00000
     5.00527     0.33602     0.08222     0.25380     0.00000
     5.09227     0.34020     0.08260     0.25760     0.00000
     5.17827     0.33346     0.07946     0.25400     0.00000
     5.26527     0.33176     0.07836     0.25340     0.00000
     5.35127     0.32476     0.07636     0.24840     0.00000
     5.43827     0.32791     0.07611     0.25180     0.00000
     5.52427     0.32637     0.07567     0.25070     0.00000
     5.61127     0.31930     0.07230     0.24700     0.00000
     5.69727     0.30836     0.06756     0.24080     0.00000
     5.78427     0.29796     0.06296     0.23500     0.00000
     5.87027     0.29366     0.06006     0.23360     0.00000
     5.95727     0.28951     0.05751     0.23200     0.00000
     6.04327     0.28212     0.05462     0.22750     0.00000
     6.12927     0.27612     0.05172     0.22440     0.00000
     6.21627     0.27462     0.04982     0.22480     0.00000
     6.30227     0.27293     0.04813     0.22480     0.00000
     6.38927     0.25034     0.04294     0.20740     0.00000
     6.47527     0.23891     0.04017     0.19874     0.00000
