 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  2.6446  0.82384629E-01  0.82384629E-01  0.33305049E-01             NaN             NaN             NaN
  2.6823  0.82740164E-01  0.82740164E-01  0.36975041E-01             NaN             NaN             NaN
  2.7201  0.83017365E-01  0.83017365E-01  0.41805647E-01             NaN             NaN             NaN
  2.7579  0.83703144E-01  0.83703144E-01  0.47652548E-01             NaN             NaN             NaN
  2.7957  0.85225070E-01  0.85225070E-01  0.54211990E-01             NaN             NaN             NaN
  2.8335  0.87837110E-01  0.87837110E-01  0.61126520E-01             NaN             NaN             NaN
  2.8712  0.91600596E-01  0.91600596E-01  0.67953399E-01             NaN             NaN             NaN
  2.9090  0.96334760E-01  0.96334760E-01  0.74235516E-01             NaN             NaN             NaN
  2.9468  0.10144717E+00  0.10144717E+00  0.79532935E-01             NaN             NaN             NaN
  2.9846  0.10565438E+00  0.10565438E+00  0.83580285E-01             NaN             NaN             NaN
  3.0224  0.10696668E+00  0.10696668E+00  0.86462007E-01             NaN             NaN             NaN
  3.0601  0.10370095E+00  0.10370095E+00  0.88679988E-01             NaN             NaN             NaN
  3.0979  0.96279458E-01  0.96279458E-01  0.91066892E-01             NaN             NaN             NaN
  3.1357  0.87327315E-01  0.87327315E-01  0.94475062E-01             NaN             NaN             NaN
  3.1735  0.79471186E-01  0.79471186E-01  0.99446933E-01             NaN             NaN             NaN
  3.2113  0.73802983E-01  0.73802983E-01  0.10599312E+00             NaN             NaN             NaN
  3.2490  0.70186901E-01  0.70186901E-01  0.11364875E+00             NaN             NaN             NaN
  3.2868  0.68012204E-01  0.68012204E-01  0.12150937E+00             NaN             NaN             NaN
  3.3246  0.66630097E-01  0.66630097E-01  0.12848755E+00             NaN             NaN             NaN
  3.3624  0.65527984E-01  0.65527984E-01  0.13353678E+00             NaN             NaN             NaN
  3.4002  0.64405074E-01  0.64405074E-01  0.13609395E+00             NaN             NaN             NaN
  3.4379  0.63216582E-01  0.63216582E-01  0.13638206E+00             NaN             NaN             NaN
  3.4757  0.62122223E-01  0.62122223E-01  0.13546461E+00             NaN             NaN             NaN
  3.5135  0.61351163E-01  0.61351163E-01  0.13474778E+00             NaN             NaN             NaN
  3.5513  0.61078629E-01  0.61078629E-01  0.13528909E+00             NaN             NaN             NaN
  3.5891  0.61385021E-01  0.61385021E-01  0.13755759E+00             NaN             NaN             NaN
  3.6268  0.62277783E-01  0.62277783E-01  0.14145714E+00             NaN             NaN             NaN
  3.6646  0.63734733E-01  0.63734733E-01  0.14659692E+00             NaN             NaN             NaN
  3.7024  0.65726592E-01  0.65726592E-01  0.15250560E+00             NaN             NaN             NaN
  3.7402  0.68228123E-01  0.68228123E-01  0.15871480E+00             NaN             NaN             NaN
  3.7779  0.71205435E-01  0.71205435E-01  0.16480254E+00             NaN             NaN             NaN
  3.8157  0.74600092E-01  0.74600092E-01  0.17023327E+00             NaN             NaN             NaN
  3.8535  0.78297648E-01  0.78297648E-01  0.17430119E+00             NaN             NaN             NaN
  3.8913  0.82083875E-01  0.82083875E-01  0.17617981E+00             NaN             NaN             NaN
  3.9291  0.85589017E-01  0.85589017E-01  0.17512589E+00             NaN             NaN             NaN
  3.9668  0.88260282E-01  0.88260282E-01  0.17089196E+00             NaN             NaN             NaN
  4.0046  0.89467362E-01  0.89467362E-01  0.16416528E+00             NaN             NaN             NaN
  4.0424  0.88787957E-01  0.88787957E-01  0.15665315E+00             NaN             NaN             NaN
  4.0802  0.86328462E-01  0.86328462E-01  0.15040558E+00             NaN             NaN             NaN
  4.1180  0.82715113E-01  0.82715113E-01  0.14705091E+00             NaN             NaN             NaN
  4.1557  0.78731900E-01  0.78731900E-01  0.14716585E+00             NaN             NaN             NaN
  4.1935  0.74966520E-01  0.74966520E-01  0.15026499E+00             NaN             NaN             NaN
  4.2313  0.71713850E-01  0.71713850E-01  0.15505805E+00             NaN             NaN             NaN
  4.2691  0.69053409E-01  0.69053409E-01  0.15964294E+00             NaN             NaN             NaN
  4.3069  0.66967167E-01  0.66967167E-01  0.16182683E+00             NaN             NaN             NaN
  4.3446  0.65421910E-01  0.65421910E-01  0.15946752E+00             NaN             NaN             NaN
  4.3824  0.64417322E-01  0.64417322E-01  0.15141318E+00             NaN             NaN             NaN
  4.4202  0.64011946E-01  0.64011946E-01  0.13824117E+00             NaN             NaN             NaN
  4.4580  0.64345593E-01  0.64345593E-01  0.12257620E+00             NaN             NaN             NaN
  4.4958  0.65646302E-01  0.65646302E-01  0.10796079E+00             NaN             NaN             NaN
  4.5335  0.68208758E-01  0.68208758E-01  0.97200830E-01             NaN             NaN             NaN
  4.5713  0.72294247E-01  0.72294247E-01  0.91513604E-01             NaN             NaN             NaN
  4.6091  0.77930164E-01  0.77930164E-01  0.90594301E-01             NaN             NaN             NaN
  4.6469  0.84652541E-01  0.84652541E-01  0.93281774E-01             NaN             NaN             NaN
  4.6847  0.91504862E-01  0.91504862E-01  0.98063283E-01             NaN             NaN             NaN
  4.7224  0.97460435E-01  0.97460435E-01  0.10325446E+00             NaN             NaN             NaN
  4.7602  0.10203271E+00  0.10203271E+00  0.10724241E+00             NaN             NaN             NaN
  4.7980  0.10549342E+00  0.10549342E+00  0.10844679E+00             NaN             NaN             NaN
  4.8358  0.10862322E+00  0.10862322E+00  0.10572485E+00             NaN             NaN             NaN
  4.8736  0.11238764E+00  0.11238764E+00  0.98807848E-01             NaN             NaN             NaN
  4.9113  0.11769841E+00  0.11769841E+00  0.88595618E-01             NaN             NaN             NaN
  4.9491  0.12518121E+00  0.12518121E+00  0.77054313E-01             NaN             NaN             NaN
  4.9869  0.13479588E+00  0.13479588E+00  0.66452206E-01             NaN             NaN             NaN
  5.0247  0.14537139E+00  0.14537139E+00  0.58488012E-01             NaN             NaN             NaN
  5.0625  0.15465813E+00  0.15465813E+00  0.53873010E-01             NaN             NaN             NaN
  5.1002  0.16039413E+00  0.16039413E+00  0.52328487E-01             NaN             NaN             NaN
  5.1380  0.16169581E+00  0.16169581E+00  0.53124391E-01             NaN             NaN             NaN
  5.1758  0.15928339E+00  0.15928339E+00  0.55283300E-01             NaN             NaN             NaN
  5.2136  0.15459536E+00  0.15459536E+00  0.57833366E-01             NaN             NaN             NaN
  5.2514  0.14894732E+00  0.14894732E+00  0.59954296E-01             NaN             NaN             NaN
  5.2891  0.14324235E+00  0.14324235E+00  0.60965769E-01             NaN             NaN             NaN
  5.3269  0.13803730E+00  0.13803730E+00  0.60477832E-01             NaN             NaN             NaN
  5.3647  0.13370454E+00  0.13370454E+00  0.58346978E-01             NaN             NaN             NaN
  5.4025  0.13058867E+00  0.13058867E+00  0.54804350E-01             NaN             NaN             NaN
  5.4402  0.12913025E+00  0.12913025E+00  0.50406123E-01             NaN             NaN             NaN
  5.4780  0.12991690E+00  0.12991690E+00  0.45849440E-01             NaN             NaN             NaN
  5.5158  0.13367711E+00  0.13367711E+00  0.41920343E-01             NaN             NaN             NaN
  5.5536  0.14111383E+00  0.14111383E+00  0.39076820E-01             NaN             NaN             NaN
  5.5914  0.15250861E+00  0.15250861E+00  0.37533274E-01             NaN             NaN             NaN
  5.6291  0.16716242E+00  0.16716242E+00  0.37092112E-01             NaN             NaN             NaN
  5.6669  0.18323923E+00  0.18323923E+00  0.37347849E-01             NaN             NaN             NaN
  5.7047  0.19838501E+00  0.19838501E+00  0.37747840E-01             NaN             NaN             NaN
  5.7425  0.21095962E+00  0.21095962E+00  0.37794443E-01             NaN             NaN             NaN
  5.7803  0.22081370E+00  0.22081370E+00  0.37085887E-01             NaN             NaN             NaN
  5.8180  0.22899549E+00  0.22899549E+00  0.35444269E-01             NaN             NaN             NaN
  5.8558  0.23722358E+00  0.23722358E+00  0.32952062E-01             NaN             NaN             NaN
  5.8936  0.24727082E+00  0.24727082E+00  0.29867753E-01             NaN             NaN             NaN
  5.9314  0.26087967E+00  0.26087967E+00  0.26588807E-01             NaN             NaN             NaN
  5.9692  0.27935779E+00  0.27935779E+00  0.23531862E-01             NaN             NaN             NaN
  6.0069  0.30328625E+00  0.30328625E+00  0.21032282E-01             NaN             NaN             NaN
  6.0447  0.33156091E+00  0.33156091E+00  0.19340932E-01             NaN             NaN             NaN
  6.0825  0.36075627E+00  0.36075627E+00  0.18558986E-01             NaN             NaN             NaN
  6.1203  0.38561790E+00  0.38561790E+00  0.18667214E-01             NaN             NaN             NaN
  6.1581  0.40144327E+00  0.40144327E+00  0.19474737E-01             NaN             NaN             NaN
  6.1958  0.40682787E+00  0.40682787E+00  0.20728011E-01             NaN             NaN             NaN
  6.2336  0.40374357E+00  0.40374357E+00  0.22054616E-01             NaN             NaN             NaN
  6.2714  0.39582457E+00  0.39582457E+00  0.23128988E-01             NaN             NaN             NaN
  6.3092  0.38651914E+00  0.38651914E+00  0.23642397E-01             NaN             NaN             NaN
  6.3470  0.37823356E+00  0.37823356E+00  0.23449606E-01             NaN             NaN             NaN
  6.3847  0.37235460E+00  0.37235460E+00  0.22545036E-01             NaN             NaN             NaN
  6.4225  0.36967155E+00  0.36967155E+00  0.21132815E-01             NaN             NaN             NaN
  6.4603  0.37029773E+00  0.37029773E+00  0.19527684E-01             NaN             NaN             NaN
