 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.12049000E+01  0.35881588E+06  0.35881588E+06  0.35881588E+06  0.30298319E+03  0.30298319E+03  0.30298319E+03
  0.12300000E+01  0.34573144E+06  0.34573144E+06  0.34573144E+06  0.30929482E+03  0.30929482E+03  0.30929482E+03
  0.12551000E+01  0.33189765E+06  0.33189765E+06  0.33189765E+06  0.31560644E+03  0.31560644E+03  0.31560644E+03
  0.12802000E+01  0.31779191E+06  0.31779191E+06  0.31779191E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13053000E+01  0.30367267E+06  0.30367267E+06  0.30367267E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13304000E+01  0.28956876E+06  0.28956876E+06  0.28956876E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13555000E+01  0.27532670E+06  0.27532670E+06  0.27532670E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13806000E+01  0.26069878E+06  0.26069878E+06  0.26069878E+06  0.31135572E+03  0.31135572E+03  0.31135572E+03
  0.14057000E+01  0.24546157E+06  0.24546157E+06  0.24546157E+06  0.31701632E+03  0.31701632E+03  0.31701632E+03
  0.14308000E+01  0.22951830E+06  0.22951830E+06  0.22951830E+06  0.32267692E+03  0.32267692E+03  0.32267692E+03
  0.14559000E+01  0.21299706E+06  0.21299706E+06  0.21299706E+06  0.30017672E+03  0.30017672E+03  0.30017672E+03
  0.14810000E+01  0.19628128E+06  0.19628128E+06  0.19628128E+06  0.30535183E+03  0.30535183E+03  0.30535183E+03
  0.15061000E+01  0.17997685E+06  0.17997685E+06  0.17997685E+06  0.31052693E+03  0.31052693E+03  0.31052693E+03
  0.15312000E+01  0.16479439E+06  0.16479439E+06  0.16479439E+06  0.29254789E+03  0.29254789E+03  0.29254789E+03
  0.15563000E+01  0.15139081E+06  0.15139081E+06  0.15139081E+06  0.29734345E+03  0.29734345E+03  0.29734345E+03
  0.15814000E+01  0.14022097E+06  0.14022097E+06  0.14022097E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16065000E+01  0.13150940E+06  0.13150940E+06  0.13150940E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16316000E+01  0.12526627E+06  0.12526627E+06  0.12526627E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16567000E+01  0.12134638E+06  0.12134638E+06  0.12134638E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16818000E+01  0.11951692E+06  0.11951692E+06  0.11951692E+06  0.28366095E+03  0.28366095E+03  0.28366095E+03
  0.17069000E+01  0.11949896E+06  0.11949896E+06  0.11949896E+06  0.28789444E+03  0.28789444E+03  0.28789444E+03
  0.17320000E+01  0.12098945E+06  0.12098945E+06  0.12098945E+06  0.58161783E+03  0.58161783E+03  0.58161783E+03
  0.17571000E+01  0.12369864E+06  0.12369864E+06  0.12369864E+06  0.56040300E+03  0.56040300E+03  0.56040300E+03
  0.17822000E+01  0.12735428E+06  0.12735428E+06  0.12735428E+06  0.56840831E+03  0.56840831E+03  0.56840831E+03
  0.18073000E+01  0.13170499E+06  0.13170499E+06  0.13170499E+06  0.85948121E+03  0.85948121E+03  0.85948121E+03
  0.18324000E+01  0.13654602E+06  0.13654602E+06  0.13654602E+06  0.87141779E+03  0.87141779E+03  0.87141779E+03
  0.18575000E+01  0.14168134E+06  0.14168134E+06  0.14168134E+06  0.88335436E+03  0.88335436E+03  0.88335436E+03
  0.18826000E+01  0.14696320E+06  0.14696320E+06  0.14696320E+06  0.11841997E+04  0.11841997E+04  0.11841997E+04
  0.19077000E+01  0.15225168E+06  0.15225168E+06  0.15225168E+06  0.11999882E+04  0.11999882E+04  0.11999882E+04
  0.19329000E+01  0.15745103E+06  0.15745103E+06  0.15745103E+06  0.12158396E+04  0.12158396E+04  0.12158396E+04
  0.19580000E+01  0.16247294E+06  0.16247294E+06  0.16247294E+06  0.11779948E+04  0.11779948E+04  0.11779948E+04
  0.19831000E+01  0.16729606E+06  0.16729606E+06  0.16729606E+06  0.11930958E+04  0.11930958E+04  0.11930958E+04
  0.20082000E+01  0.17195801E+06  0.17195801E+06  0.17195801E+06  0.14392477E+04  0.14392477E+04  0.14392477E+04
  0.20333000E+01  0.17656894E+06  0.17656894E+06  0.17656894E+06  0.14572365E+04  0.14572365E+04  0.14572365E+04
