#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  5.9358   -4.2042   -1.3074   -1.1782   -1.0429    0.2963    0.8852    9.9080   21.0180   24.6984   26.2207
  6.0135   -4.3961   -1.4878   -1.1769   -0.9823    0.1748    0.8567   10.8602   20.3939   24.9895   26.5133
  6.0912   -4.6203   -1.6181   -1.1620   -0.9146    0.0459    0.8173   11.8727   19.7795   25.3425   26.8254
  6.1689   -4.8635   -1.6983   -1.1416   -0.8409   -0.0866    0.7685   12.9362   19.1874   25.7448   27.1528
  6.2466   -5.1109   -1.7388   -1.1168   -0.7623   -0.2188    0.7112   14.0423   18.6265   26.1847   27.4941
  6.3242   -5.3493   -1.7498   -1.0887   -0.6802   -0.3470    0.6463   15.1798   18.1073   26.6446   27.8503
  6.4019   -5.5682   -1.7400   -1.0590   -0.5996   -0.4640    0.5745   16.3075   17.6695   27.0854   28.2238
  6.4796   -5.7596   -1.7157   -1.0297   -0.5998   -0.4885    0.4968   16.8975   17.8390   27.3960   28.6178
  6.5573   -5.9178   -1.6821   -1.0027   -0.6932   -0.4067    0.4144   16.5978   18.9651   27.3707   29.0342
  6.6350   -6.0386   -1.6434   -0.9802   -0.7787   -0.3184    0.3291   16.2339   20.2179   27.0240   29.4552
  6.7127   -6.1192   -1.6037   -0.9635   -0.8489   -0.2300    0.2434   15.8938   21.5019   26.5529   28.8913
  6.7904   -6.1578   -1.5682   -0.9533   -0.9017   -0.1431    0.1604   15.5877   22.7874   26.0687   27.8927
  6.8681   -6.1532   -1.5431   -0.9491   -0.9357   -0.0585    0.0849   15.3180   23.9865   25.6861   26.9157
  6.9457   -6.1051   -1.5352   -0.9500   -0.9500    0.0228    0.0228   15.0849   24.5386   25.9666   25.9666
  6.9457   -6.1051   -1.5352   -0.9500   -0.9500    0.0228    0.0228   15.0849   24.5386   25.9666   25.9666
  6.9863   -6.3120   -1.5229   -0.9402   -0.9402   -0.0151   -0.0151   15.7341   24.6576   26.0600   26.0600
  7.0269   -6.5135   -1.5047   -0.9341   -0.9341   -0.0485   -0.0485   16.3916   24.7718   26.1602   26.1602
  7.0675   -6.7083   -1.4820   -0.9322   -0.9322   -0.0767   -0.0767   17.0564   24.8802   26.2671   26.2671
  7.1080   -6.8953   -1.4558   -0.9347   -0.9347   -0.0994   -0.0994   17.7273   24.9821   26.3806   26.3806
  7.1486   -7.0734   -1.4272   -0.9416   -0.9416   -0.1166   -0.1166   18.4031   25.0774   26.5007   26.5007
  7.1892   -7.2419   -1.3971   -0.9525   -0.9525   -0.1283   -0.1283   19.0820   25.1665   26.6272   26.6272
  7.2297   -7.4000   -1.3662   -0.9668   -0.9668   -0.1353   -0.1353   19.7616   25.2508   26.7598   26.7598
  7.2703   -7.5472   -1.3352   -0.9837   -0.9837   -0.1381   -0.1381   20.4385   25.3333   26.8980   26.8980
  7.3109   -7.6829   -1.3048   -1.0024   -1.0024   -0.1375   -0.1375   21.1077   25.4184   27.0412   27.0412
  7.3514   -7.8068   -1.2756   -1.0220   -1.0220   -0.1345   -0.1345   21.7611   25.5139   27.1885   27.1885
  7.3920   -7.9185   -1.2480   -1.0416   -1.0416   -0.1297   -0.1297   22.3861   25.6318   27.3386   27.3386
  7.4326   -8.0178   -1.2226   -1.0605   -1.0605   -0.1240   -0.1240   22.9627   25.7909   27.4897   27.4897
  7.4732   -8.1042   -1.1997   -1.0781   -1.0781   -0.1178   -0.1178   23.4633   26.0167   27.6393   27.6393
  7.5137   -8.1777   -1.1798   -1.0939   -1.0939   -0.1118   -0.1118   23.8598   26.3329   27.7839   27.7839
  7.5543   -8.2380   -1.1631   -1.1073   -1.1073   -0.1063   -0.1063   24.1418   26.7417   27.9185   27.9185
  7.5949   -8.2851   -1.1498   -1.1181   -1.1181   -0.1017   -0.1017   24.3241   27.2114   28.0367   28.0367
  7.6354   -8.3188   -1.1401   -1.1260   -1.1260   -0.0983   -0.0983   24.4331   27.6817   28.1306   28.1306
  7.6760   -8.3391   -1.1343   -1.1308   -1.1308   -0.0961   -0.0961   24.4902   28.0597   28.1916   28.1916
  7.7166   -8.3458   -1.1324   -1.1324   -1.1324   -0.0954   -0.0954   24.5080   28.2128   28.2129   28.2129
  7.7166   -8.3458   -1.1324   -1.1324   -1.1324   -0.0954   -0.0954   24.5080   28.2128   28.2129   28.2129
  7.7977   -8.3188   -1.1401   -1.1260   -1.1260   -0.0983   -0.0983   24.4331   27.6817   28.1306   28.1306
  7.8789   -8.2380   -1.1631   -1.1073   -1.1073   -0.1063   -0.1063   24.1418   26.7417   27.9185   27.9185
  7.9600   -8.1042   -1.1997   -1.0781   -1.0781   -0.1178   -0.1178   23.4633   26.0167   27.6393   27.6393
  8.0412   -7.9185   -1.2480   -1.0416   -1.0416   -0.1297   -0.1297   22.3861   25.6318   27.3386   27.3386
  8.1223   -7.6829   -1.3048   -1.0024   -1.0024   -0.1375   -0.1375   21.1077   25.4185   27.0412   27.0412
  8.2034   -7.4000   -1.3662   -0.9668   -0.9668   -0.1353   -0.1353   19.7616   25.2509   26.7598   26.7598
  8.2846   -7.0734   -1.4272   -0.9416   -0.9416   -0.1166   -0.1166   18.4031   25.0774   26.5007   26.5007
  8.3657   -6.7083   -1.4820   -0.9322   -0.9322   -0.0767   -0.0767   17.0564   24.8802   26.2670   26.2671
  8.4469   -6.3120   -1.5229   -0.9402   -0.9402   -0.0151   -0.0151   15.7341   24.6576   26.0600   26.0600
  8.5280   -5.8945   -1.5402   -0.9631   -0.9631    0.0647    0.0647   14.4449   24.4162   25.8798   25.8799
  8.6091   -5.4703   -1.5212   -0.9966   -0.9966    0.1567    0.1568   13.1956   24.1662   25.7263   25.7264
  8.6903   -5.0588   -1.4497   -1.0358   -1.0358    0.2546    0.2546   11.9939   23.9189   25.5987   25.5987
  8.7714   -4.6841   -1.3080   -1.0768   -1.0768    0.3522    0.3522   10.8490   23.6847   25.4958   25.4958
  8.8526   -4.3697   -1.1162   -1.1162   -1.0826    0.4442    0.4442    9.7736   23.4725   25.4160   25.4160
  8.9337   -4.1300   -1.1515   -1.1515   -0.7764    0.5262    0.5262    8.7869   23.2898   25.3573   25.3573
  9.0149   -3.9640   -1.1808   -1.1808   -0.4184    0.5941    0.5941    7.9186   23.1421   25.3170   25.3170
  9.0960   -3.8601   -1.2027   -1.2027   -0.0658    0.6450    0.6450    7.2153   23.0338   25.2919   25.2919
  9.1771   -3.8043   -1.2162   -1.2162    0.2019    0.6764    0.6764    6.7434   22.9677   25.2785   25.2786
  9.2583   -3.7869   -1.2208   -1.2208    0.3034    0.6870    0.6870    6.5748   22.9454   25.2744   25.2745
