#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  4.9886   -1.9862   -0.6552    4.1286    5.3985    8.5249
  5.0294   -1.9233   -0.5889    3.7544    5.1005    9.0258
  5.0703   -1.8489   -0.5107    3.3916    4.7943    9.5381
  5.1111   -1.7631   -0.4209    3.0403    4.4855   10.0618
  5.1519   -1.6657   -0.3195    2.7005    4.1780   10.5967
  5.1927   -1.5569   -0.2069    2.3722    3.8745   11.1427
  5.2336   -1.4367   -0.0833    2.0556    3.5772   11.6996
  5.2744   -1.3049    0.0508    1.7505    3.2878   12.2672
  5.3152   -1.1617    0.1947    1.4571    3.0080   12.8455
  5.3560   -1.0069    0.3471    1.1752    2.7396   13.4342
  5.3969   -0.8407    0.5060    0.9050    2.4853   14.0331
  5.4377   -0.6629    0.6463    0.6671    2.2496   14.6420
  5.4785   -0.4736    0.3992    0.8212    2.0421   15.2606
  5.5193   -0.2727    0.1637    0.9463    1.8848   15.8885
  5.5602   -0.0603   -0.0603    0.9987    1.8217   16.5275
  5.5602   -0.0603   -0.0603    0.9987    1.8217   16.5255
  5.6179   -0.2102   -0.1527    1.1719    1.9353   16.3612
  5.6756   -0.5180   -0.3817    1.5496    2.2282   16.0121
  5.7334   -0.8591   -0.6734    2.0072    2.6262   15.6869
  5.7911   -1.1972   -0.9848    2.5081    3.0862   15.3757
  5.8489   -1.5210   -1.2957    3.0410    3.5878   15.0831
  5.9066   -1.8263   -1.5964    3.6014    4.1209   14.8211
  5.9643   -2.1110   -1.8817    4.1870    4.6799   14.5818
  6.0221   -2.3741   -2.1486    4.7962    5.2612   14.3181
  6.0798   -2.6150   -2.3953    5.4279    5.8623   14.1011
  6.1375   -2.8335   -2.6207    6.0809    6.4810   13.9021
  6.1953   -3.0292   -2.8238    6.7538    7.1150   13.7209
  6.2530   -3.2021   -3.0041    7.4445    7.7618   13.5590
  6.3108   -3.3521   -3.1612    8.1504    8.4184   13.4067
  6.3685   -3.4791   -3.2945    8.8670    9.0806   13.2669
  6.4262   -3.5830   -3.4040    9.5876    9.7426   13.1303
  6.4840   -3.6638   -3.4893   10.3006   10.3955   12.9852
  6.5417   -3.7216   -3.5504   10.9862   11.0260   12.8013
  6.5994   -3.7562   -3.5870   11.6113   11.6135   12.5512
  6.6572   -3.7678   -3.5992   12.0704   12.0706   12.2148
  6.6572   -3.7678   -3.5992   12.0704   12.0715   12.2148
  6.7279   -4.3536   -2.9805   11.9415   11.9415   12.3752
  6.7986   -4.9825   -2.2529   11.7903   11.7903   12.6208
  6.8693   -5.5794   -1.4915   11.6667   11.6667   12.9015
  6.9400   -6.1426   -0.6981   11.5736   11.5736   13.2142
  7.0107   -6.6715    0.1264   11.5115   11.5115   13.5576
  7.0815   -7.1657    0.9814   11.4806   11.4806   13.9309
  7.1522   -7.6248    1.8661   11.4808   11.4808   14.3328
  7.2229   -8.0484    2.7796   11.5121   11.5121   14.7611
  7.2936   -8.4362    3.7211   11.5742   11.5742   15.0645
  7.3643   -8.7880    4.6893   11.6669   11.6669   15.1013
  7.4350   -9.1035    5.6825   11.7896   11.7896   15.1643
  7.5057   -9.3825    6.6988   11.9418   11.9418   15.2403
  7.5765   -9.6247    7.7353   12.1224   12.1224   15.3222
  7.6472   -9.8300    8.7876   12.3294   12.3294   15.3986
  7.7179   -9.9981    9.8488   12.5593   12.5593   15.4525
  7.7886  -10.1291   10.9068   12.8051   12.8051   15.4734
  7.8593  -10.2227   11.9355   13.0509   13.0509   15.1691
  7.9300  -10.2789   12.8595   13.2582   13.2582   14.8753
  8.0007  -10.2976   13.3472   13.3472   13.3472   14.7571
  8.0007  -10.2976   13.3472   13.3472   13.3472   14.7571
  8.0873  -10.2695   12.7785   12.9556   13.3746   14.7756
  8.1739  -10.1852   11.7621   12.2041   13.4565   14.8270
  8.2605  -10.0449   10.6748   11.3597   13.5930   14.9085
  8.3472   -9.8486    9.5924   10.4830   13.7840   15.0044
  8.4338   -9.5967    8.5393    9.5975   14.0293   15.0587
  8.5204   -9.2894    7.5261    8.7171   14.3288   14.8617
  8.6070   -8.9271    6.5580    7.8517   14.2535   14.6823
  8.6936   -8.5102    5.6379    7.0087   13.4936   15.0906
  8.7802   -8.0391    4.7676    6.1939   12.7234   14.7668
  8.8668   -7.5145    3.9480    5.4121   11.9794   14.0187
  8.9534   -6.9369    3.1798    4.6670   11.2736   13.2980
  9.0400   -6.3070    2.4633    3.9618   10.6108   12.6101
  9.1266   -5.6255    1.7988    3.2992    9.9937   11.9588
  9.2132   -4.8934    1.1863    2.6815    9.4236   11.3475
  9.2998   -4.1118    0.6259    2.1108    8.9011   10.7784
  9.3864   -3.2820    0.1176    1.5890    8.4266   10.2534
  9.4730   -2.4064   -0.3388    1.1186    8.0005    9.7737
  9.5596   -1.4897   -0.7432    0.7042    7.6226    9.3396
  9.6462   -1.0958   -0.5568    0.3695    7.2932    8.9502
