     #Energy        Au_s        Au_p        Au_d      Au_all
    20.96322     0.00000     0.00000     0.00000     0.00000
    21.07722     0.00000     0.00000     0.00000     0.00000
    21.19122     0.00000     0.00000     0.00000     0.00000
    21.30522     0.00000     0.00000     0.00000     0.00000
    21.41922     0.00000     0.00000     0.00000     0.00000
    21.53322     0.00000     0.00000     0.00000     0.00000
    21.64722     0.00000     0.00000     0.00000     0.00000
    21.76122     0.00000     0.00000     0.00000     0.00000
    21.87522     0.00000     0.00000     0.00000     0.00000
    21.98922     0.00000     0.00000     0.00000     0.00000
    22.10322     0.00000     0.00000     0.00000     0.00000
    22.21722     0.00000     0.00000     0.00000     0.00000
