     #Energy           s           p           d       tot  
     2.61322     0.68240     0.52272     9.00184    10.20697
     2.72722     0.69034     0.52818     9.00940    10.22792
     2.84122     0.69878     0.53340     9.01673    10.24891
     2.95522     0.70783     0.53838     9.02389    10.27010
     3.06922     0.72384     0.54351     9.03555    10.30290
     3.18322     0.74577     0.54906     9.05103    10.34586
     3.29722     0.76521     0.55481     9.06435    10.38437
     3.41122     0.78195     0.56063     9.07564    10.41823
     3.52522     0.79703     0.56655     9.08578    10.44936
     3.63922     0.81075     0.57254     9.09499    10.47828
     3.75322     0.82326     0.57857     9.10349    10.50533
     3.86722     0.83477     0.58462     9.11142    10.53082
     3.98122     0.84513     0.59054     9.11876    10.55443
     4.09522     0.85454     0.59643     9.12565    10.57663
     4.20822     0.86330     0.60247     9.13231    10.59808
     4.32222     0.87137     0.60862     9.13871    10.61871
     4.43622     0.87922     0.61520     9.14510    10.63951
     4.55022     0.88733     0.62297     9.15187    10.66217
     4.66422     0.89530     0.63181     9.15891    10.68602
     4.77822     0.90325     0.64115     9.16601    10.71042
     4.89222     0.91181     0.65080     9.17322    10.73583
     5.00622     0.92136     0.66081     9.18060    10.76278
     5.12022     0.93214     0.67125     9.18824    10.79164
     5.23422     0.94354     0.68175     9.19591    10.82120
     5.34822     0.95521     0.69227     9.20355    10.85104
     5.46222     0.96719     0.70297     9.21126    10.88143
     5.57622     0.97943     0.71376     9.21902    10.91222
     5.69022     0.99186     0.72447     9.22673    10.94305
     5.80422     1.00374     0.73503     9.23415    10.97292
     5.91822     1.01476     0.74543     9.24116    11.00134
     6.03222     1.02538     0.75589     9.24800    11.02927
     6.14622     1.03558     0.76588     9.25444    11.05590
     6.26022     1.04528     0.77504     9.26029    11.08060
     6.37422     1.05457     0.78380     9.26577    11.10414
     6.48822     1.06355     0.79224     9.27096    11.12675
     6.60222     1.07228     0.80040     9.27590    11.14858
     6.71622     1.08078     0.80861     9.28074    11.17014
     6.83022     1.08908     0.81707     9.28558    11.19172
     6.94422     1.09717     0.82560     9.29033    11.21310
     7.05822     1.10505     0.83420     9.29503    11.23429
     7.17222     1.11281     0.84319     9.29984    11.25584
     7.28622     1.12064     0.85295     9.30513    11.27872
     7.40022     1.12890     0.86415     9.31161    11.30467
     7.51422     1.13727     0.87628     9.31884    11.33238
     7.62822     1.14522     0.88843     9.32593    11.35959
     7.74222     1.15287     0.90077     9.33306    11.38671
     7.85622     1.16027     0.91342     9.34031    11.41400
     7.97022     1.16744     0.92635     9.34767    11.44146
     8.08422     1.17435     0.93954     9.35511    11.46900
     8.19822     1.18099     0.95286     9.36253    11.49638
     8.31222     1.18736     0.96627     9.36985    11.52348
     8.42622     1.19350     0.97984     9.37715    11.55050
     8.54022     1.19945     0.99358     9.38447    11.57750
     8.65422     1.20522     1.00749     9.39182    11.60453
     8.76822     1.21082     1.02159     9.39919    11.63160
     8.88222     1.21626     1.03586     9.40658    11.65870
     8.99522     1.22153     1.05025     9.41393    11.68570
     9.10922     1.22663     1.06472     9.42120    11.71255
     9.22322     1.23157     1.07928     9.42841    11.73926
     9.33722     1.23637     1.09391     9.43558    11.76585
     9.45122     1.24102     1.10864     9.44270    11.79236
     9.56522     1.24554     1.12423     9.45073    11.82050
     9.67922     1.24994     1.14077     9.45965    11.85036
     9.79322     1.25423     1.15798     9.46886    11.88107
     9.90722     1.25841     1.17603     9.47846    11.91291
    10.02122     1.26247     1.19479     9.48821    11.94548
    10.13522     1.26641     1.21449     9.49811    11.97902
    10.24922     1.27024     1.23571     9.50818    12.01413
    10.36322     1.27398     1.25761     9.51837    12.04995
    10.47722     1.27762     1.27931     9.52858    12.08551
    10.59122     1.28118     1.30093     9.53881    12.12092
    10.70522     1.28464     1.32249     9.54910    12.15623
    10.81922     1.28801     1.34408     9.55949    12.19158
    10.93322     1.29129     1.36557     9.56991    12.22677
    11.04722     1.29448     1.38690     9.58031    12.26169
    11.16122     1.29760     1.40816     9.59074    12.29650
    11.27522     1.30065     1.42945     9.60126    12.33136
    11.38922     1.30361     1.45074     9.61186    12.36621
    11.50322     1.30650     1.47185     9.62247    12.40081
    11.61722     1.30931     1.49281     9.63309    12.43522
    11.73122     1.31206     1.51379     9.64378    12.46964
    11.84522     1.31473     1.53475     9.65451    12.50400
    11.95922     1.31734     1.55556     9.66523    12.53812
    12.07322     1.31988     1.57621     9.67595    12.57204
    12.18722     1.32235     1.59676     9.68673    12.60584
    12.30122     1.32476     1.61719     9.69755    12.63950
    12.41522     1.32710     1.63746     9.70837    12.67293
    12.52922     1.32939     1.65761     9.71919    12.70618
    12.64322     1.33162     1.67770     9.73006    12.73937
    12.75722     1.33379     1.69773     9.74097    12.77249
    12.87122     1.33590     1.71760     9.75186    12.80537
    12.98522     1.33795     1.73723     9.76271    12.83789
    13.09922     1.33993     1.75667     9.77356    12.87016
    13.21322     1.34187     1.77596     9.78443    12.90225
    13.32722     1.34374     1.79504     9.79529    12.93408
    13.44122     1.34556     1.81392     9.80613    12.96561
    13.55522     1.34733     1.83263     9.81698    12.99694
    13.66922     1.34904     1.85120     9.82787    13.02810
    13.78222     1.35070     1.86958     9.83876    13.05905
    13.89622     1.35232     1.88772     9.84965    13.08969
    14.01022     1.35389     1.90563     9.86056    13.12007
    14.12422     1.35541     1.92331     9.87149    13.15021
    14.23822     1.35688     1.94073     9.88242    13.18004
    14.35222     1.35831     1.95790     9.89337    13.20958
    14.46622     1.35969     1.97485     9.90438    13.23892
    14.58022     1.36103     1.99163     9.91552    13.26818
    14.69422     1.36233     2.00931     9.92820    13.29984
    14.80822     1.36357     2.02643     9.94071    13.33070
    14.92222     1.36473     2.04164     9.95136    13.35773
    15.03622     1.36584     2.05620     9.96165    13.38368
    15.15022     1.36692     2.07019     9.97160    13.40871
    15.26422     1.36797     2.08368     9.98125    13.43290
    15.37822     1.36900     2.09678     9.99069    13.45648
    15.49222     1.37002     2.10964    10.00005    13.47971
    15.60622     1.37104     2.12260    10.00963    13.50327
    15.72022     1.37205     2.13533    10.01925    13.52664
    15.83422     1.37304     2.14760    10.02846    13.54910
    15.94822     1.37402     2.15978    10.03730    13.57109
    16.06222     1.37497     2.17157    10.04584    13.59237
    16.17622     1.37588     2.18267    10.05401    13.61257
    16.29022     1.37682     2.19323    10.06194    13.63199
    16.40422     1.37778     2.20337    10.06979    13.65094
    16.51822     1.37866     2.21271    10.07623    13.66760
    16.63222     1.37940     2.22111    10.08084    13.68135
    16.74622     1.38005     2.22904    10.08487    13.69396
    16.86022     1.38066     2.23669    10.08876    13.70610
    16.97422     1.38119     2.24407    10.09238    13.71763
    17.08822     1.38165     2.25128    10.09559    13.72852
    17.20222     1.38205     2.25837    10.09853    13.73895
    17.31622     1.38240     2.26535    10.10123    13.74898
    17.43022     1.38270     2.27218    10.10375    13.75863
    17.54422     1.38297     2.27860    10.10610    13.76767
    17.65822     1.38321     2.28449    10.10833    13.77602
    17.77222     1.38341     2.29011    10.11045    13.78398
    17.88622     1.38360     2.29554    10.11247    13.79161
    18.00022     1.38376     2.30078    10.11439    13.79893
    18.11422     1.38390     2.30597    10.11624    13.80611
    18.22822     1.38402     2.31128    10.11807    13.81337
    18.34222     1.38413     2.31683    10.11990    13.82086
    18.45622     1.38423     2.32311    10.12180    13.82913
    18.56922     1.38431     2.32983    10.12369    13.83783
    18.68322     1.38438     2.33560    10.12535    13.84533
    18.79722     1.38442     2.34011    10.12671    13.85124
    18.91122     1.38444     2.34379    10.12786    13.85609
    19.02522     1.38445     2.34698    10.12885    13.86028
    19.13922     1.38446     2.34987    10.12968    13.86401
    19.25322     1.38446     2.35205    10.13033    13.86685
    19.36722     1.38447     2.35341    10.13082    13.86870
    19.48122     1.38447     2.35440    10.13121    13.87008
    19.59522     1.38447     2.35513    10.13152    13.87112
