#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 200  20
# Band-Index    1
   4.31983    -18.541396    -18.541396
   4.33166    -18.541723    -18.541723
   4.34348    -18.542127    -18.542127
   4.35531    -18.542431    -18.542431
   4.36714    -18.542633    -18.542633
   4.37897    -18.542735    -18.542735
   4.39080    -18.542735    -18.542735
   4.40263    -18.542633    -18.542633
   4.41446    -18.542431    -18.542431
   4.42629    -18.542127    -18.542127
   4.43812    -18.541723    -18.541723
   4.44995    -18.541396    -18.541396
   4.46178    -18.540796    -18.540796
   4.47361    -18.540098    -18.540098
   4.48544    -18.539302    -18.539302
   4.49727    -18.538410    -18.538410
   4.50910    -18.537776    -18.537776
   4.52093    -18.536700    -18.536700
   4.53276    -18.535532    -18.535532
   4.54459    -18.534278    -18.534278
   4.55641    -18.532771    -18.532771
   4.56824    -18.531361    -18.531361
   4.58007    -18.529565    -18.529565
   4.59190    -18.528053    -18.528053
   4.60373    -18.526558    -18.526558
   4.61556    -18.525270    -18.525270
 
# Band-Index    2
   4.61556    -18.516532    -18.516532
   4.60373    -18.513353    -18.513353
   4.59190    -18.510055    -18.510055
   4.58007    -18.506832    -18.506832
   4.56824    -18.504428    -18.504428
   4.55641    -18.501507    -18.501507
   4.54459    -18.498757    -18.498757
   4.53276    -18.496183    -18.496183
   4.52093    -18.494122    -18.494122
   4.50910    -18.491923    -18.491923
   4.49727    -18.489914    -18.489914
   4.48544    -18.488097    -18.488097
   4.47361    -18.486475    -18.486475
   4.46178    -18.485049    -18.485049
   4.44995    -18.483820    -18.483820
   4.43812    -18.483197    -18.483197
   4.42629    -18.482788    -18.482788
   4.41446    -18.482580    -18.482580
   4.40263    -18.482594    -18.482594
   4.39080    -18.482392    -18.482392
   4.37897    -18.482392    -18.482392
   4.36714    -18.482594    -18.482594
   4.35531    -18.482580    -18.482580
   4.34348    -18.482788    -18.482788
   4.33166    -18.483197    -18.483197
   4.31983    -18.483820    -18.483820
   4.30800    -18.485049    -18.485049
   4.29617    -18.486475    -18.486475
   4.28434    -18.488097    -18.488097
   4.27251    -18.489914    -18.489914
   4.26068    -18.491923    -18.491923
   4.24885    -18.494122    -18.494122
   4.23702    -18.496183    -18.496183
   4.22519    -18.498757    -18.498757
   4.21336    -18.501507    -18.501507
   4.20153    -18.504428    -18.504428
   4.18970    -18.506832    -18.506832
   4.17787    -18.510055    -18.510055
   4.16604    -18.513353    -18.513353
   4.15421    -18.516532    -18.516532
   4.15421    -18.516532    -18.516532
   4.13156    -18.517097    -18.517097
   4.10891    -18.516162    -18.516162
   4.08626    -18.514717    -18.514717
   4.06361    -18.513535    -18.513535
   4.04095    -18.511864    -18.511864
   4.01830    -18.510836    -18.510836
   3.99565    -18.509707    -18.509707
   3.97300    -18.509120    -18.509120
   3.95035    -18.508660    -18.508660
   3.92770    -18.508734    -18.508734
   3.90504    -18.508549    -18.508549
   3.88239    -18.508751    -18.508751
   3.85974    -18.509179    -18.509179
   3.83709    -18.509706    -18.509706
   3.81444    -18.510225    -18.510225
   3.79179    -18.510741    -18.510741
   3.76913    -18.511532    -18.511532
   3.74648    -18.511873    -18.511873
   3.72383    -18.512082    -18.512082
   3.70118    -18.512082    -18.512082
   3.67853    -18.511873    -18.511873
   3.65588    -18.511532    -18.511532
   3.63322    -18.510741    -18.510741
   3.61057    -18.510225    -18.510225
   3.58792    -18.509706    -18.509706
   3.56527    -18.509179    -18.509179
   3.54262    -18.508751    -18.508751
   3.51997    -18.508549    -18.508549
   3.49731    -18.508734    -18.508734
