#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 200  20
# Band-Index    1
   1.79957    -19.755265  0.690  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.690
   1.81630    -19.736982  0.690  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.692
   1.83303    -19.717950  0.692  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.692
   1.84976    -19.697702  0.694  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.694
   1.86648    -19.677241  0.694  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.696
   1.88321    -19.656095  0.696  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.696
   1.89994    -19.634288  0.698  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.698
   1.91667    -19.611845  0.698  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   1.93340    -19.587862  0.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.702
   1.95013    -19.564239  0.702  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.704
   1.96686    -19.540067  0.704  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.704
   1.98359    -19.515375  0.706  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.706
   2.00032    -19.490193  0.708  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.708
   2.01705    -19.464552  0.708  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.710
   2.03378    -19.438487  0.710  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.712
   2.05051    -19.412462  0.712  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.712
   2.06724    -19.385673  0.714  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.714
   2.08397    -19.358592  0.716  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.716
   2.10070    -19.331804  0.716  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.718
   2.11743    -19.307954  0.718  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.720
   2.11743    -19.307954  0.718  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.720
   2.14700    -19.306691  0.718  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.720
   2.17657    -19.303576  0.718  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.720
   2.20615    -19.298377  0.718  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.720
   2.23572    -19.290983  0.720  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.722
   2.26529    -19.282218  0.720  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.722
   2.29487    -19.271206  0.720  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.722
   2.32444    -19.258340  0.722  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.722
   2.35401    -19.243749  0.722  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.724
   2.38359    -19.226889  0.724  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.726
   2.41316    -19.209052  0.724  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.726
   2.44274    -19.189645  0.726  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.728
   2.47231    -19.168904  0.728  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.730
   2.50188    -19.146665  0.730  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.730
   2.53146    -19.123421  0.732  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.732
   2.56103    -19.099323  0.734  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.734
   2.59060    -19.074462  0.734  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.736
   2.62018    -19.048644  0.736  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.738
   2.64975    -19.021844  0.738  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.740
   2.67932    -18.994442  0.742  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.742
   2.70890    -18.967246  0.744  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.744
   2.73847    -18.939742  0.744  0.000  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.746
   2.76805    -18.912062  0.746  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.748
   2.79762    -18.883665  0.750  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.750
   2.82719    -18.855335  0.752  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.752
   2.85677    -18.827536  0.754  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.754
   2.88634    -18.799710  0.756  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.758
   2.91591    -18.772656  0.758  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.760
   2.94549    -18.746143  0.760  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.762
   2.97506    -18.720279  0.762  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.764
   3.00463    -18.695169  0.764  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.766
   3.03421    -18.670912  0.766  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.766
   3.06378    -18.647602  0.768  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.768
   3.09336    -18.625677  0.770  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.770
   3.12293    -18.604520  0.772  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.772
   3.15250    -18.584414  0.774  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.774
   3.18208    -18.565704  0.774  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.776
   3.21165    -18.548697  0.776  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.776
   3.24122    -18.533392  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.27080    -18.525271  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   3.27080    -18.525271  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   3.29345    -18.523830  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   3.31610    -18.523544  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.33875    -18.524222  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.36140    -18.525111  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.38406    -18.525834  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.40671    -18.526806  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.42936    -18.527258  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.45201    -18.527259  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.47466    -18.527683  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.49731    -18.527674  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.51997    -18.527477  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.54262    -18.527164  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.56527    -18.526866  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.58792    -18.526489  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.61057    -18.525646  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.63322    -18.525089  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.65588    -18.524688  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.67853    -18.524198  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.70118    -18.523993  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.72383    -18.523993  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.74648    -18.524198  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.76913    -18.524688  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.79179    -18.525089  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.81444    -18.525646  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.83709    -18.526489  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.85974    -18.526866  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.88239    -18.527164  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.90504    -18.527477  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.92770    -18.527674  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.95035    -18.527683  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.97300    -18.527259  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   3.99565    -18.527258  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   4.01830    -18.526806  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   4.04095    -18.525834  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   4.06361    -18.525111  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   4.08626    -18.524222  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   4.10891    -18.523544  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.778
   4.13156    -18.523830  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.15421    -18.525271  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.15421    -18.525271  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.16604    -18.526558  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.17787    -18.528054  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.18970    -18.529566  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.20153    -18.531362  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.21336    -18.532771  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.22519    -18.534278  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.23702    -18.535532  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.24885    -18.536700  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.26068    -18.537776  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.27251    -18.538410  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.28434    -18.539302  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.29617    -18.540098  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.30800    -18.540797  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.31983    -18.541397  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.33166    -18.541723  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.34348    -18.542127  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.35531    -18.542431  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.36714    -18.542634  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.37897    -18.542735  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.39080    -18.542735  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.40263    -18.542634  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.41446    -18.542431  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.42629    -18.542127  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.43812    -18.541723  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.44995    -18.541397  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.46178    -18.540797  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.47361    -18.540098  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.48544    -18.539302  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.49727    -18.538410  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.50910    -18.537776  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.52093    -18.536700  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.53276    -18.535532  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.54459    -18.534278  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.55641    -18.532771  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.56824    -18.531362  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.58007    -18.529566  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.59190    -18.528054  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.60373    -18.526558  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.61556    -18.525271  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
 
# Band-Index    2
   4.61556    -18.516532  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.60373    -18.513353  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.59190    -18.510055  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.58007    -18.506833  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.56824    -18.504429  0.778  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.55641    -18.501507  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.54459    -18.498758  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.53276    -18.496184  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.52093    -18.494122  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.50910    -18.491923  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
   4.49727    -18.489914  0.780  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.780
