#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 200  20
# Band-Index    1
   1.79957    -19.755265  0.105  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.113
   1.81630    -19.736982  0.103  0.003  0.003  0.003  0.000  0.000  0.000  0.000  0.000  0.113
   1.83303    -19.717950  0.101  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.111
   1.84976    -19.697702  0.101  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.111
   1.86648    -19.677241  0.099  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.111
   1.88321    -19.656095  0.097  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.109
   1.89994    -19.634288  0.095  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.109
   1.91667    -19.611845  0.093  0.004  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.107
   1.93340    -19.587862  0.091  0.006  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.107
   1.95013    -19.564239  0.090  0.006  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.107
   1.96686    -19.540067  0.088  0.006  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.105
   1.98359    -19.515375  0.086  0.006  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.105
   2.00032    -19.490193  0.084  0.006  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.103
   2.01705    -19.464552  0.082  0.007  0.007  0.007  0.000  0.000  0.000  0.000  0.000  0.102
   2.03378    -19.438487  0.080  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.102
   2.05051    -19.412462  0.077  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.100
   2.06724    -19.385673  0.075  0.008  0.008  0.008  0.000  0.000  0.000  0.000  0.000  0.099
   2.08397    -19.358592  0.073  0.009  0.009  0.009  0.000  0.000  0.000  0.000  0.000  0.098
   2.10070    -19.331804  0.070  0.009  0.009  0.009  0.000  0.000  0.000  0.000  0.000  0.097
   2.11743    -19.307954  0.069  0.009  0.009  0.009  0.000  0.000  0.000  0.000  0.000  0.097
   2.11743    -19.307954  0.069  0.009  0.009  0.009  0.000  0.000  0.000  0.000  0.000  0.097
   2.14700    -19.306691  0.069  0.009  0.009  0.009  0.000  0.000  0.000  0.000  0.000  0.097
   2.17657    -19.303576  0.068  0.009  0.009  0.009  0.000  0.000  0.000  0.000  0.000  0.097
   2.20615    -19.298377  0.068  0.009  0.009  0.009  0.000  0.000  0.000  0.000  0.000  0.096
   2.23572    -19.290983  0.067  0.009  0.009  0.010  0.000  0.000  0.000  0.000  0.000  0.096
   2.26529    -19.282218  0.067  0.009  0.009  0.010  0.000  0.000  0.000  0.000  0.001  0.096
   2.29487    -19.271206  0.066  0.009  0.009  0.010  0.000  0.000  0.000  0.000  0.001  0.095
   2.32444    -19.258340  0.065  0.008  0.008  0.011  0.000  0.000  0.000  0.000  0.001  0.094
   2.35401    -19.243749  0.064  0.008  0.008  0.012  0.000  0.000  0.000  0.000  0.001  0.095
   2.38359    -19.226889  0.062  0.007  0.007  0.015  0.000  0.000  0.001  0.000  0.002  0.094
   2.41316    -19.209052  0.061  0.006  0.006  0.016  0.000  0.000  0.001  0.000  0.003  0.093
   2.44274    -19.189645  0.060  0.005  0.005  0.017  0.000  0.000  0.001  0.000  0.004  0.092
   2.47231    -19.168904  0.059  0.004  0.004  0.019  0.000  0.000  0.001  0.000  0.004  0.092
   2.50188    -19.146665  0.057  0.004  0.004  0.019  0.000  0.000  0.002  0.000  0.005  0.092
   2.53146    -19.123421  0.055  0.004  0.004  0.020  0.000  0.000  0.002  0.000  0.007  0.091
   2.56103    -19.099323  0.053  0.003  0.003  0.020  0.000  0.000  0.002  0.000  0.007  0.090
   2.59060    -19.074462  0.051  0.003  0.003  0.022  0.000  0.000  0.003  0.000  0.009  0.090
   2.62018    -19.048643  0.050  0.003  0.003  0.022  0.000  0.000  0.004  0.000  0.010  0.089
   2.64975    -19.021844  0.049  0.002  0.002  0.022  0.000  0.000  0.004  0.000  0.011  0.088
   2.67932    -18.994442  0.047  0.002  0.002  0.022  0.000  0.000  0.004  0.000  0.012  0.087
   2.70890    -18.967246  0.044  0.002  0.002  0.021  0.000  0.000  0.004  0.000  0.014  0.087
   2.73847    -18.939742  0.043  0.002  0.002  0.021  0.000  0.000  0.005  0.000  0.015  0.086
   2.76805    -18.912062  0.041  0.000  0.000  0.020  0.000  0.000  0.006  0.000  0.017  0.085
   2.79762    -18.883665  0.039  0.000  0.000  0.020  0.000  0.000  0.006  0.000  0.019  0.085
   2.82719    -18.855335  0.037  0.000  0.000  0.020  0.000  0.000  0.006  0.000  0.020  0.085
   2.85677    -18.827536  0.035  0.000  0.000  0.018  0.000  0.000  0.007  0.000  0.021  0.083
   2.88634    -18.799710  0.033  0.000  0.000  0.018  0.000  0.000  0.008  0.000  0.023  0.083
   2.91591    -18.772656  0.031  0.000  0.000  0.017  0.000  0.000  0.008  0.000  0.025  0.083
   2.94549    -18.746143  0.030  0.000  0.000  0.016  0.000  0.000  0.009  0.000  0.027  0.081
   2.97506    -18.720279  0.029  0.000  0.000  0.015  0.000  0.000  0.009  0.000  0.028  0.081
   3.00463    -18.695169  0.027  0.000  0.000  0.014  0.000  0.000  0.010  0.000  0.030  0.081
   3.03421    -18.670911  0.025  0.000  0.000  0.013  0.000  0.000  0.011  0.000  0.032  0.080
   3.06378    -18.647602  0.023  0.000  0.000  0.011  0.000  0.000  0.011  0.000  0.033  0.079
   3.09336    -18.625677  0.022  0.000  0.000  0.011  0.000  0.000  0.011  0.000  0.035  0.079
   3.12293    -18.604520  0.021  0.000  0.000  0.009  0.000  0.000  0.013  0.000  0.037  0.078
   3.15250    -18.584414  0.019  0.000  0.000  0.008  0.000  0.000  0.013  0.000  0.037  0.078
   3.18208    -18.565704  0.019  0.000  0.000  0.007  0.000  0.000  0.013  0.000  0.038  0.078
   3.21165    -18.548697  0.017  0.001  0.001  0.006  0.000  0.000  0.013  0.000  0.039  0.076
   3.24122    -18.533392  0.015  0.002  0.002  0.005  0.000  0.000  0.013  0.000  0.038  0.076
   3.27080    -18.525271  0.002  0.017  0.017  0.015  0.000  0.000  0.003  0.000  0.009  0.064
   3.27080    -18.525271  0.002  0.017  0.017  0.015  0.000  0.000  0.003  0.000  0.009  0.064
   3.29345    -18.523830  0.005  0.012  0.012  0.012  0.000  0.000  0.006  0.000  0.018  0.067
   3.31610    -18.523544  0.010  0.007  0.007  0.008  0.000  0.000  0.009  0.000  0.029  0.072
   3.33875    -18.524222  0.012  0.004  0.004  0.007  0.000  0.000  0.011  0.000  0.034  0.074
   3.36140    -18.525111  0.012  0.004  0.004  0.006  0.000  0.000  0.012  0.000  0.035  0.074
   3.38406    -18.525834  0.014  0.004  0.004  0.006  0.000  0.000  0.012  0.000  0.035  0.074
   3.40671    -18.526806  0.013  0.004  0.004  0.007  0.000  0.000  0.012  0.000  0.035  0.074
   3.42936    -18.527258  0.013  0.004  0.004  0.007  0.000  0.000  0.012  0.000  0.035  0.074
   3.45201    -18.527259  0.013  0.004  0.004  0.007  0.000  0.000  0.012  0.000  0.034  0.073
   3.47466    -18.527683  0.013  0.004  0.004  0.008  0.000  0.000  0.011  0.000  0.033  0.073
   3.49731    -18.527674  0.012  0.005  0.005  0.008  0.000  0.000  0.010  0.000  0.032  0.073
   3.51997    -18.527477  0.012  0.005  0.005  0.008  0.000  0.000  0.010  0.000  0.031  0.073
   3.54262    -18.527164  0.012  0.007  0.007  0.009  0.000  0.000  0.010  0.000  0.030  0.072
   3.56527    -18.526866  0.011  0.007  0.007  0.009  0.000  0.000  0.009  0.000  0.029  0.072
   3.58792    -18.526489  0.011  0.008  0.008  0.010  0.000  0.000  0.009  0.000  0.028  0.072
   3.61057    -18.525646  0.010  0.007  0.007  0.010  0.000  0.000  0.009  0.000  0.027  0.071
   3.63322    -18.525089  0.009  0.008  0.008  0.011  0.000  0.000  0.008  0.000  0.025  0.071
