#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 200  17
# Band-Index    1
  26.05195    -17.554224    -17.554224
  26.19147    -17.519782    -17.519782
  26.33099    -17.484232    -17.484232
  26.47051    -17.447886    -17.447886
  26.61004    -17.412470    -17.412470
  26.74956    -17.380734    -17.380733
  26.88908    -17.380733    -17.380733
  27.02861    -17.412470    -17.412470
  27.16813    -17.447886    -17.447886
  27.30765    -17.484232    -17.484232
  27.44718    -17.519782    -17.519782
  27.58670    -17.554224    -17.554224
  27.72622    -17.587072    -17.587072
  27.86575    -17.618217    -17.618217
  28.00527    -17.647079    -17.647079
  28.14479    -17.675080    -17.675080
  28.28431    -17.700158    -17.700158
  28.42384    -17.723704    -17.723704
  28.56336    -17.744054    -17.744054
  28.70288    -17.762678    -17.762677
  28.84241    -17.778311    -17.778311
  28.98193    -17.790881    -17.790881
  29.12145    -17.800710    -17.800710
  29.26098    -17.808481    -17.808481
  29.40050    -17.812732    -17.812732
  29.54002    -17.814148    -17.814148
 
# Band-Index    2
  29.54002    -16.821664    -16.821664
  29.40050    -16.823494    -16.823494
  29.26098    -16.829352    -16.829352
  29.12145    -16.839292    -16.839292
  28.98193    -16.851880    -16.851880
  28.84241    -16.867848    -16.867848
  28.70288    -16.887049    -16.887049
  28.56336    -16.909825    -16.909825
  28.42384    -16.935330    -16.935330
  28.28431    -16.963108    -16.963108
  28.14479    -16.992543    -16.992544
  28.00527    -17.024854    -17.024854
  27.86575    -17.059018    -17.059018
  27.72622    -17.094747    -17.094747
  27.58670    -17.131752    -17.131752
  27.44718    -17.169708    -17.169707
  27.30765    -17.207581    -17.207581
  27.16813    -17.246259    -17.246259
  27.02861    -17.284085    -17.284085
  26.88908    -17.316623    -17.316623
  26.74956    -17.316623    -17.316622
  26.61004    -17.284085    -17.284085
  26.47051    -17.246259    -17.246259
  26.33099    -17.207581    -17.207581
  26.19147    -17.169708    -17.169708
  26.05195    -17.131752    -17.131752
  25.91242    -17.094747    -17.094747
  25.77290    -17.059018    -17.059018
  25.63338    -17.024854    -17.024854
  25.49385    -16.992544    -16.992544
  25.35433    -16.963108    -16.963108
  25.21481    -16.935330    -16.935330
  25.07528    -16.909825    -16.909825
  24.93576    -16.887049    -16.887049
  24.79624    -16.867849    -16.867849
  24.65672    -16.851880    -16.851880
  24.51719    -16.839292    -16.839292
  24.37767    -16.829352    -16.829352
  24.23815    -16.823494    -16.823494
  24.09862    -16.821664    -16.821664
  24.09862    -16.821664    -16.821664
  23.92774    -16.823875    -16.823875
  23.75686    -16.829511    -16.829511
  23.58598    -16.838311    -16.838311
  23.41510    -16.850401    -16.850401
  23.24422    -16.865557    -16.865557
  23.07334    -16.883802    -16.883802
  22.90246    -16.904859    -16.904859
  22.73158    -16.927473    -16.927474
  22.56070    -16.952319    -16.952319
  22.38982    -16.977314    -16.977314
  22.21894    -17.003532    -17.003532
  22.04806    -17.030960    -17.030960
  21.87718    -17.058415    -17.058415
  21.70630    -17.085384    -17.085383
  21.53542    -17.111936    -17.111936
  21.36454    -17.137483    -17.137483
  21.19366    -17.162063    -17.162063
  21.02278    -17.184543    -17.184543
  20.85190    -17.203877    -17.203877
  20.68102    -17.167015    -17.167015
  20.51014    -17.122830    -17.122830
  20.33926    -17.080255    -17.080255
  20.16838    -17.040751    -17.040751
  19.99750    -17.002697    -17.002697
  19.82662    -16.967382    -16.967382
  19.65574    -16.935637    -16.935637
  19.48486    -16.906084    -16.906084
  19.31398    -16.880356    -16.880356
  19.14310    -16.858080    -16.858080
  18.97222    -16.838619    -16.838619
  18.80134    -16.823877    -16.823877
  18.63046    -16.811949    -16.811949
  18.45958    -16.803242    -16.803242
  18.28870    -16.797553    -16.797553
  18.11782    -16.794659    -16.794659
  17.94694    -16.794261    -16.794261
  17.77606    -16.796079    -16.796078
  17.60518    -16.799301    -16.799300
  17.43430    -16.804561    -16.804561
  17.43430    -16.804560    -16.804560
  17.22893    -16.802995    -16.802995
  17.02355    -16.802036    -16.802036
  16.81818    -16.801732    -16.801732
  16.61281    -16.801427    -16.801427
  16.40744    -16.802347    -16.802347
  16.20207    -16.803616    -16.803616
  15.99669    -16.804990    -16.804990
  15.79132    -16.806876    -16.806876
  15.58595    -16.808327    -16.808327
  15.38058    -16.809710    -16.809710
  15.17520    -16.811035    -16.811035
  14.96983    -16.812925    -16.812926
  14.76446    -16.814276    -16.814276
  14.55909    -16.815837    -16.815837
  14.35371    -16.816863    -16.816863
  14.14834    -16.817475    -16.817475
  13.94297    -16.817874    -16.817874
  13.73760    -16.818202    -16.818202
  13.53222    -16.818072    -16.818072
  13.32685    -16.817620    -16.817620
  13.12148    -16.816863    -16.816863
  12.91611    -16.815508    -16.815508
  12.71074    -16.814572    -16.814572
  12.50536    -16.812971    -16.812971
  12.29999    -16.811336    -16.811336
  12.09462    -16.810272    -16.810272
  11.88925    -16.808327    -16.808327
  11.68387    -16.806182    -16.806182
  11.47850    -16.804522    -16.804522
  11.27313    -16.802210    -16.802210
  11.06776    -16.800480    -16.800480
  10.86238    -16.798550    -16.798550
  10.65701    -16.796859    -16.796859
  10.45164    -16.795333    -16.795333
  10.24627    -16.793864    -16.793864
  10.04089    -16.793201    -16.793201
   9.83552    -16.792284    -16.792284
   9.63015    -16.791296    -16.791296
   9.42478    -16.791127    -16.791127
   9.42478    -16.791127    -16.791126
   9.34422    -16.791277    -16.791277
   9.26367    -16.791724    -16.791725
   9.18312    -16.792476    -16.792476
   9.10256    -16.793518    -16.793518
   9.02201    -16.794845    -16.794845
   8.94146    -16.796445    -16.796445
   8.86090    -16.798307    -16.798306
   8.78035    -16.800731    -16.800731
   8.69980    -16.803072    -16.803072
   8.61924    -16.805625    -16.805625
   8.53869    -16.808363    -16.808363
   8.45813    -16.811262    -16.811262
   8.37758    -16.814314    -16.814314
   8.29703    -16.817417    -16.817417
   8.21647    -16.820616    -16.820616
   8.13592    -16.823843    -16.823842
   8.05537    -16.827578    -16.827578
   7.97481    -16.830712    -16.830712
   7.89426    -16.833697    -16.833697
   7.81370    -16.836601    -16.836601
   7.73315    -16.838999    -16.838999
   7.65260    -16.840902    -16.840902
   7.57204    -16.842163    -16.842163
   7.49149    -16.842723    -16.842723
   7.41094    -16.842546    -16.842546
   7.33038    -16.841259    -16.841259
   7.24983    -16.839917    -16.839917
   7.16928    -16.837964    -16.837964
   7.08872    -16.836155    -16.836156
   7.00817    -16.834065    -16.834065
   6.92761    -16.831973    -16.831973
   6.84706    -16.830053    -16.830053
   6.76651    -16.828300    -16.828300
   6.68595    -16.826755    -16.826755
   6.60540    -16.825160    -16.825160
   6.52485    -16.824122    -16.824122
   6.44429    -16.823237    -16.823237
   6.36374    -16.821953    -16.821953
   6.28319    -16.821803    -16.821803
   6.28319    -16.821803    -16.821803
   6.12208    -16.823059    -16.823059
   5.96097    -16.824516    -16.824516
   5.79986    -16.827081    -16.827081
   5.63876    -16.830421    -16.830421
   5.47765    -16.834937    -16.834937
   5.31654    -16.840338    -16.840338
   5.15543    -16.847237    -16.847237
   4.99433    -16.854966    -16.854966
   4.83322    -16.863640    -16.863641
   4.67211    -16.872965    -16.872965
   4.51100    -16.882523    -16.882523
   4.34990    -16.891953    -16.891953
   4.18879    -16.902006    -16.902006
   4.02768    -16.909976    -16.909976
   3.86658    -16.917524    -16.917524
   3.70547    -16.924161    -16.924161
   3.54436    -16.929256    -16.929256
   3.38325    -16.932761    -16.932761
   3.22215    -16.934959    -16.934959
   3.06104    -16.935361    -16.935361
   2.89993    -16.933992    -16.933992
   2.73882    -16.931370    -16.931370
   2.57772    -16.927243    -16.927243
   2.41661    -16.921712    -16.921712
   2.25550    -16.915298    -16.915298
   2.09440    -16.908511    -16.908511
   1.93329    -16.899465    -16.899465
   1.77218    -16.890909    -16.890909
   1.61107    -16.881935    -16.881935
   1.44997    -16.872865    -16.872865
   1.28886    -16.863931    -16.863931
   1.12775    -16.855488    -16.855488
   0.96664    -16.847415    -16.847415
   0.80554    -16.840547    -16.840547
   0.64443    -16.834449    -16.834449
   0.48332    -16.829518    -16.829518
   0.32221    -16.825596    -16.825596
   0.16111    -16.823242    -16.823242
   0.00000    -16.821664    -16.821664
 
# Band-Index    3
   0.00000     -6.298884     -6.298884
   0.16111     -6.294851     -6.294851
   0.32221     -6.282580     -6.282580
   0.48332     -6.262407     -6.262407
   0.64443     -6.234897     -6.234897
   0.80554     -6.200676     -6.200676
   0.96664     -6.160565     -6.160565
   1.12775     -6.115816     -6.115816
   1.28886     -6.068165     -6.068165
   1.44997     -6.018576     -6.018576
   1.61107     -5.969339     -5.969339
   1.77218     -5.922692     -5.922692
   1.93329     -5.881102     -5.881102
   2.09440     -5.847282     -5.847282
   2.25550     -5.821044     -5.821044
   2.41661     -5.804190     -5.804190
   2.57772     -5.795887     -5.795887
   2.73882     -5.794580     -5.794580
   2.89993     -5.798479     -5.798479
   3.06104     -5.806574     -5.806574
   3.22215     -5.815402     -5.815402
   3.38325     -5.824488     -5.824488
   3.54436     -5.833779     -5.833779
   3.70547     -5.842965     -5.842965
   3.86658     -5.852594     -5.852594
   4.02768     -5.864859     -5.864859
   4.18879     -5.881752     -5.881752
   4.34990     -5.904052     -5.904052
   4.51100     -5.934717     -5.934717
   4.67211     -5.972229     -5.972229
   4.83322     -6.014302     -6.014302
   4.99433     -6.058728     -6.058728
   5.15543     -6.102485     -6.102485
   5.31654     -6.144074     -6.144074
   5.47765     -6.181725     -6.181725
   5.63876     -6.213918     -6.213918
   5.79986     -6.239896     -6.239896
   5.96097     -6.258912     -6.258912
   6.12208     -6.270458     -6.270458
   6.28319     -6.274255     -6.274255
   6.28319     -6.274255     -6.274255
   6.36374     -6.273236     -6.273236
   6.44429     -6.270272     -6.270272
   6.52485     -6.265342     -6.265343
   6.60540     -6.258290     -6.258290
   6.68595     -6.249380     -6.249380
   6.76651     -6.238474     -6.238474
   6.84706     -6.225723     -6.225723
   6.92761     -6.211199     -6.211199
   7.00817     -6.195006     -6.195006
   7.08872     -6.177187     -6.177187
   7.16928     -6.157765     -6.157765
   7.24983     -6.137118     -6.137118
   7.33038     -6.115140     -6.115140
   7.41094     -6.092121     -6.092121
   7.49149     -6.068048     -6.068048
   7.57204     -6.043491     -6.043491
   7.65260     -6.017973     -6.017973
   7.73315     -5.991996     -5.991996
   7.81370     -5.965759     -5.965759
   7.89426     -5.939376     -5.939376
   7.97481     -5.913265     -5.913265
   8.05537     -5.887554     -5.887554
   8.13592     -5.862420     -5.862420
   8.21647     -5.838223     -5.838223
   8.29703     -5.815135     -5.815135
   8.37758     -5.794184     -5.794184
   8.45813     -5.773716     -5.773716
   8.53869     -5.755231     -5.755231
   8.61924     -5.738587     -5.738588
   8.69980     -5.723864     -5.723864
   8.78035     -5.711174     -5.711174
   8.86090     -5.700351     -5.700351
   8.94146     -5.691331     -5.691330
   9.02201     -5.684123     -5.684123
   9.10256     -5.678386     -5.678386
   9.18312     -5.674093     -5.674093
   9.26367     -5.671121     -5.671121
   9.34422     -5.669580     -5.669579
   9.42478     -5.669012     -5.669011
   9.42478     -5.669012     -5.669012
   9.63015     -5.646064     -5.646063
   9.83552     -5.612141     -5.612141
  10.04089     -5.569249     -5.569249
  10.24627     -5.521177     -5.521177
  10.45164     -5.475461     -5.475460
  10.65701     -5.445347     -5.445347
  10.86238     -5.448777     -5.448777
  11.06776     -5.487587     -5.487587
  11.27313     -5.547535     -5.547535
  11.47850     -5.617915     -5.617915
  11.68387     -5.691857     -5.691857
  11.88925     -5.766106     -5.766106
  12.09462     -5.837841     -5.837841
  12.29999     -5.904871     -5.904871
  12.50536     -5.965906     -5.965906
  12.71074     -6.019622     -6.019622
  12.91611     -6.064910     -6.064910
  13.12148     -6.101149     -6.101149
  13.32685     -6.127444     -6.127444
  13.53222     -6.143481     -6.143481
  13.73760     -6.148956     -6.148956
  13.94297     -6.143751     -6.143750
  14.14834     -6.127703     -6.127703
  14.35371     -6.101149     -6.101148
  14.55909     -6.064531     -6.064531
  14.76446     -6.018430     -6.018430
  14.96983     -5.964007     -5.964007
  15.17520     -5.902304     -5.902304
  15.38058     -5.835548     -5.835548
  15.58595     -5.766106     -5.766106
  15.79132     -5.697366     -5.697365
  15.99669     -5.633338     -5.633338
  16.20207     -5.577490     -5.577490
  16.40744     -5.531382     -5.531382
  16.61281     -5.494300     -5.494300
  16.81818     -5.465194     -5.465194
  17.02355     -5.459903     -5.459903
  17.22893     -5.536652     -5.536652
  17.43430     -5.629827     -5.629828
  17.43430     -5.629828     -5.629828
  17.60518     -5.562815     -5.562815
  17.77606     -5.513803     -5.513803
  17.94694     -5.543738     -5.543738
  18.11782     -5.594771     -5.594771
  18.28870     -5.644693     -5.644693
  18.45958     -5.690585     -5.690585
  18.63046     -5.730907     -5.730907
  18.80134     -5.764463     -5.764463
  18.97222     -5.790124     -5.790124
  19.14310     -5.808875     -5.808875
  19.31398     -5.818379     -5.818379
  19.48486     -5.818887     -5.818887
  19.65574     -5.810864     -5.810864
  19.82662     -5.794086     -5.794086
  19.99750     -5.769344     -5.769344
  20.16838     -5.737350     -5.737350
  20.33926     -5.699070     -5.699070
  20.51014     -5.657304     -5.657304
  20.68102     -5.613244     -5.613243
  20.85190     -5.569368     -5.569368
  21.02278     -5.529648     -5.529648
  21.19366     -5.500558     -5.500558
  21.36454     -5.493752     -5.493752
  21.53542     -5.517407     -5.517407
  21.70630     -5.566221     -5.566220
  21.87718     -5.629031     -5.629031
  22.04806     -5.699105     -5.699105
  22.21894     -5.772511     -5.772511
  22.38982     -5.847304     -5.847304
  22.56070     -5.920973     -5.920973
  22.73158     -5.991352     -5.991352
  22.90246     -6.057606     -6.057606
  23.07334     -6.117357     -6.117357
  23.24422     -6.170611     -6.170611
  23.41510     -6.215621     -6.215621
  23.58598     -6.251547     -6.251547
  23.75686     -6.277711     -6.277711
  23.92774     -6.293607     -6.293607
  24.09862     -6.298884     -6.298884
  24.09862     -6.298884     -6.298884
  24.23815     -6.294878     -6.294878
  24.37767     -6.283027     -6.283027
  24.51719     -6.263141     -6.263141
  24.65672     -6.235718     -6.235718
  24.79624     -6.200962     -6.200961
  24.93576     -6.159184     -6.159184
  25.07528     -6.112012     -6.112012
  25.21481     -6.058221     -6.058221
  25.35433     -5.999331     -5.999331
  25.49385     -5.935918     -5.935918
  25.63338     -5.869859     -5.869859
  25.77290     -5.802879     -5.802879
  25.91242     -5.735393     -5.735394
  26.05195     -5.669936     -5.669936
  26.19147     -5.608796     -5.608796
  26.33099     -5.554538     -5.554538
  26.47051     -5.510419     -5.510419
  26.61004     -5.479160     -5.479160
  26.74956     -5.462815     -5.462814
  26.88908     -5.462815     -5.462815
  27.02861     -5.479160     -5.479160
  27.16813     -5.510419     -5.510419
  27.30765     -5.554538     -5.554538
  27.44718     -5.608796     -5.608796
  27.58670     -5.669936     -5.669936
  27.72622     -5.735394     -5.735394
  27.86575     -5.802879     -5.802879
  28.00527     -5.869859     -5.869859
  28.14479     -5.935917     -5.935918
  28.28431     -5.999331     -5.999331
  28.42384     -6.058221     -6.058221
  28.56336     -6.112012     -6.112012
  28.70288     -6.159184     -6.159184
  28.84241     -6.200961     -6.200961
  28.98193     -6.235718     -6.235718
  29.12145     -6.263141     -6.263141
  29.26098     -6.283026     -6.283027
  29.40050     -6.294878     -6.294878
  29.54002     -6.298884     -6.298884
 
# Band-Index    4
  29.54002     -5.182887     -5.182887
  29.40050     -5.182448     -5.182449
  29.26098     -5.181220     -5.181220
  29.12145     -5.179640     -5.179640
  28.98193     -5.176714     -5.176714
  28.84241     -5.173064     -5.173064
  28.70288     -5.168770     -5.168770
  28.56336     -5.163866     -5.163866
  28.42384     -5.158762     -5.158762
  28.28431     -5.153082     -5.153082
  28.14479     -5.146899     -5.146900
  28.00527     -5.140929     -5.140929
  27.86575     -5.135351     -5.135351
  27.72622     -5.130126     -5.130126
  27.58670     -5.125328     -5.125328
  27.44718     -5.121089     -5.121089
  27.30765     -5.117154     -5.117154
  27.16813     -5.114409     -5.114409
  27.02861     -5.112697     -5.112697
  26.88908     -5.111750     -5.111750
  26.74956     -5.111750     -5.111750
  26.61004     -5.112697     -5.112697
  26.47051     -5.114409     -5.114409
  26.33099     -5.117154     -5.117154
  26.19147     -5.121089     -5.121089
  26.05195     -5.125328     -5.125328
  25.91242     -5.130126     -5.130126
  25.77290     -5.135351     -5.135351
  25.63338     -5.140929     -5.140929
  25.49385     -5.146900     -5.146900
  25.35433     -5.153082     -5.153082
  25.21481     -5.158762     -5.158762
  25.07528     -5.163866     -5.163866
  24.93576     -5.168770     -5.168770
