#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 200  17
# Band-Index    1
  26.05195    -19.062263    -19.062263
  26.19147    -19.028789    -19.028789
  26.33099    -18.994223    -18.994223
  26.47051    -18.958820    -18.958820
  26.61004    -18.924165    -18.924164
  26.74956    -18.892341    -18.892341
  26.88908    -18.892341    -18.892341
  27.02861    -18.924165    -18.924165
  27.16813    -18.958820    -18.958820
  27.30765    -18.994223    -18.994223
  27.44718    -19.028789    -19.028789
  27.58670    -19.062263    -19.062263
  27.72622    -19.094173    -19.094173
  27.86575    -19.124428    -19.124428
  28.00527    -19.152450    -19.152450
  28.14479    -19.179685    -19.179685
  28.28431    -19.204053    -19.204053
  28.42384    -19.226977    -19.226977
  28.56336    -19.246755    -19.246755
  28.70288    -19.264897    -19.264897
  28.84241    -19.280113    -19.280113
  28.98193    -19.292334    -19.292334
  29.12145    -19.301891    -19.301891
  29.26098    -19.309480    -19.309480
  29.40050    -19.313613    -19.313613
  29.54002    -19.314991    -19.314991
 
# Band-Index    2
  29.54002    -18.354986    -18.354986
  29.40050    -18.356746    -18.356746
  29.26098    -18.362397    -18.362397
  29.12145    -18.372002    -18.372002
  28.98193    -18.384111    -18.384111
  28.84241    -18.399478    -18.399477
  28.70288    -18.417958    -18.417958
  28.56336    -18.439912    -18.439912
  28.42384    -18.464498    -18.464498
  28.28431    -18.491267    -18.491267
  28.14479    -18.519613    -18.519613
  28.00527    -18.550782    -18.550782
  27.86575    -18.583758    -18.583758
  27.72622    -18.618266    -18.618266
  27.58670    -18.654035    -18.654035
  27.44718    -18.690759    -18.690759
  27.30765    -18.727425    -18.727425
  27.16813    -18.764994    -18.764994
  27.02861    -18.801957    -18.801957
  26.88908    -18.834524    -18.834524
  26.74956    -18.834524    -18.834524
  26.61004    -18.801957    -18.801957
  26.47051    -18.764994    -18.764994
  26.33099    -18.727425    -18.727425
  26.19147    -18.690759    -18.690759
  26.05195    -18.654035    -18.654035
  25.91242    -18.618266    -18.618266
  25.77290    -18.583758    -18.583758
  25.63338    -18.550782    -18.550782
  25.49385    -18.519613    -18.519613
  25.35433    -18.491267    -18.491267
  25.21481    -18.464498    -18.464498
  25.07528    -18.439912    -18.439912
  24.93576    -18.417958    -18.417958
  24.79624    -18.399478    -18.399477
  24.65672    -18.384111    -18.384111
  24.51719    -18.372002    -18.372002
  24.37767    -18.362397    -18.362397
  24.23815    -18.356746    -18.356746
  24.09862    -18.354986    -18.354986
  24.09862    -18.354986    -18.354986
  23.92774    -18.357098    -18.357099
  23.75686    -18.362433    -18.362433
  23.58598    -18.370731    -18.370731
  23.41510    -18.382133    -18.382133
  23.24422    -18.396429    -18.396429
  23.07334    -18.413665    -18.413665
  22.90246    -18.433579    -18.433579
  22.73158    -18.454930    -18.454930
  22.56070    -18.478419    -18.478419
  22.38982    -18.501975    -18.501975
  22.21894    -18.526705    -18.526705
  22.04806    -18.552623    -18.552623
  21.87718    -18.578542    -18.578542
  21.70630    -18.603957    -18.603957
  21.53542    -18.628945    -18.628945
  21.36454    -18.652875    -18.652875
  21.19366    -18.675689    -18.675689
  21.02278    -18.695688    -18.695688
  20.85190    -18.707541    -18.707541
  20.68102    -18.680480    -18.680480
  20.51014    -18.639282    -18.639282
  20.33926    -18.598215    -18.598215
  20.16838    -18.559770    -18.559770
  19.99750    -18.522500    -18.522500
  19.82662    -18.487745    -18.487745
  19.65574    -18.456373    -18.456373
  19.48486    -18.426982    -18.426982
  19.31398    -18.401255    -18.401255
  19.14310    -18.378795    -18.378795
  18.97222    -18.358977    -18.358977
  18.80134    -18.343718    -18.343718
  18.63046    -18.331130    -18.331130
  18.45958    -18.321633    -18.321633
  18.28870    -18.315052    -18.315052
  18.11782    -18.311177    -18.311177
  17.94694    -18.309752    -18.309752
  17.77606    -18.310501    -18.310501
  17.60518    -18.312622    -18.312622
  17.43430    -18.316837    -18.316837
  17.43430    -18.316837    -18.316837
  17.22893    -18.314345    -18.314345
  17.02355    -18.313263    -18.313263
  16.81818    -18.313467    -18.313467
  16.61281    -18.314113    -18.314113
  16.40744    -18.316316    -18.316316
  16.20207    -18.319107    -18.319107
  15.99669    -18.322120    -18.322120
  15.79132    -18.325723    -18.325723
  15.58595    -18.328900    -18.328900
  15.38058    -18.331951    -18.331951
  15.17520    -18.334860    -18.334860
  14.96983    -18.338214    -18.338214
  14.76446    -18.340857    -18.340857
  14.55909    -18.343505    -18.343505
  14.35371    -18.345400    -18.345400
  14.14834    -18.346635    -18.346635
  13.94297    -18.347432    -18.347432
  13.73760    -18.347886    -18.347886
  13.53222    -18.347624    -18.347624
  13.32685    -18.346787    -18.346787
  13.12148    -18.345400    -18.345400
  12.91611    -18.343157    -18.343157
  12.71074    -18.341135    -18.341135
  12.50536    -18.338256    -18.338256
  12.29999    -18.335172    -18.335172
  12.09462    -18.332525    -18.332525
  11.88925    -18.328900    -18.328900
  11.68387    -18.324996    -18.324995
  11.47850    -18.321524    -18.321524
  11.27313    -18.317395    -18.317395
  11.06776    -18.313905    -18.313905
  10.86238    -18.310283    -18.310283
  10.65701    -18.307039    -18.307039
  10.45164    -18.304113    -18.304113
  10.24627    -18.301438    -18.301438
  10.04089    -18.299789    -18.299789
   9.83552    -18.298120    -18.298120
   9.63015    -18.296636    -18.296636
   9.42478    -18.296307    -18.296307
   9.42478    -18.296307    -18.296307
   9.34422    -18.296453    -18.296453
   9.26367    -18.296892    -18.296892
   9.18312    -18.297619    -18.297619
   9.10256    -18.298631    -18.298631
   9.02201    -18.299919    -18.299919
   8.94146    -18.301476    -18.301476
   8.86090    -18.303291    -18.303291
   8.78035    -18.305683    -18.305683
   8.69980    -18.307986    -18.307986
   8.61924    -18.310504    -18.310504
   8.53869    -18.313220    -18.313220
   8.45813    -18.316116    -18.316116
   8.37758    -18.319172    -18.319172
   8.29703    -18.322366    -18.322366
   8.21647    -18.325678    -18.325678
   8.13592    -18.329085    -18.329085
   8.05537    -18.333140    -18.333140
   7.97481    -18.336684    -18.336684
   7.89426    -18.340253    -18.340253
   7.81370    -18.344049    -18.344049
   7.73315    -18.347612    -18.347612
   7.65260    -18.351128    -18.351128
   7.57204    -18.354571    -18.354571
   7.49149    -18.357913    -18.357913
   7.41094    -18.361371    -18.361371
   7.33038    -18.364382    -18.364382
   7.24983    -18.367134    -18.367134
   7.16928    -18.368876    -18.368876
   7.08872    -18.369606    -18.369606
   7.00817    -18.368110    -18.368110
   6.92761    -18.365925    -18.365925
   6.84706    -18.363810    -18.363810
   6.76651    -18.361878    -18.361878
   6.68595    -18.360191    -18.360191
   6.60540    -18.358486    -18.358486
   6.52485    -18.357372    -18.357372
   6.44429    -18.356435    -18.356435
   6.36374    -18.355114    -18.355114
   6.28319    -18.354954    -18.354954
   6.28319    -18.354954    -18.354954
   6.12208    -18.356449    -18.356449
   5.96097    -18.358544    -18.358544
   5.79986    -18.362044    -18.362044
   5.63876    -18.366396    -18.366396
   5.47765    -18.371777    -18.371777
   5.31654    -18.377795    -18.377795
   5.15543    -18.384925    -18.384925
   4.99433    -18.392353    -18.392353
   4.83322    -18.400217    -18.400217
   4.67211    -18.408198    -18.408198
   4.51100    -18.416088    -18.416088
   4.34990    -18.423594    -18.423594
   4.18879    -18.431656    -18.431656
   4.02768    -18.437572    -18.437572
   3.86658    -18.443246    -18.443246
   3.70547    -18.448205    -18.448205
   3.54436    -18.451967    -18.451967
