 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  2.0591  0.25160732E-01  0.25160732E-01  0.25160732E-01             NaN             NaN             NaN
  2.0889  0.25810316E-01  0.25810316E-01  0.25810316E-01             NaN             NaN             NaN
  2.1188  0.26430798E-01  0.26430798E-01  0.26430798E-01             NaN             NaN             NaN
  2.1486  0.27018126E-01  0.27018126E-01  0.27018126E-01             NaN             NaN             NaN
  2.1785  0.27587636E-01  0.27587636E-01  0.27587636E-01             NaN             NaN             NaN
  2.2083  0.28175590E-01  0.28175590E-01  0.28175590E-01             NaN             NaN             NaN
  2.2381  0.28830374E-01  0.28830374E-01  0.28830374E-01             NaN             NaN             NaN
  2.2680  0.29601813E-01  0.29601813E-01  0.29601813E-01             NaN             NaN             NaN
  2.2978  0.30529532E-01  0.30529532E-01  0.30529532E-01             NaN             NaN             NaN
  2.3277  0.31637781E-01  0.31637781E-01  0.31637781E-01             NaN             NaN             NaN
  2.3575  0.32932134E-01  0.32932134E-01  0.32932134E-01             NaN             NaN             NaN
  2.3873  0.34400048E-01  0.34400048E-01  0.34400048E-01             NaN             NaN             NaN
  2.4172  0.36011680E-01  0.36011680E-01  0.36011680E-01             NaN             NaN             NaN
  2.4470  0.37720380E-01  0.37720380E-01  0.37720380E-01             NaN             NaN             NaN
  2.4769  0.39465632E-01  0.39465632E-01  0.39465632E-01             NaN             NaN             NaN
  2.5067  0.41176603E-01  0.41176603E-01  0.41176603E-01             NaN             NaN             NaN
  2.5366  0.42784676E-01  0.42784676E-01  0.42784676E-01             NaN             NaN             NaN
  2.5664  0.44239383E-01  0.44239383E-01  0.44239383E-01             NaN             NaN             NaN
  2.5962  0.45522892E-01  0.45522892E-01  0.45522892E-01             NaN             NaN             NaN
  2.6261  0.46656097E-01  0.46656097E-01  0.46656097E-01             NaN             NaN             NaN
  2.6559  0.47688114E-01  0.47688114E-01  0.47688114E-01             NaN             NaN             NaN
  2.6858  0.48677859E-01  0.48677859E-01  0.48677859E-01             NaN             NaN             NaN
  2.7156  0.49668891E-01  0.49668891E-01  0.49668891E-01             NaN             NaN             NaN
  2.7454  0.50674966E-01  0.50674966E-01  0.50674966E-01             NaN             NaN             NaN
  2.7753  0.51671278E-01  0.51671278E-01  0.51671278E-01             NaN             NaN             NaN
  2.8051  0.52597307E-01  0.52597307E-01  0.52597307E-01             NaN             NaN             NaN
  2.8350  0.53364514E-01  0.53364514E-01  0.53364514E-01             NaN             NaN             NaN
  2.8648  0.53874431E-01  0.53874431E-01  0.53874431E-01             NaN             NaN             NaN
  2.8947  0.54038045E-01  0.54038045E-01  0.54038045E-01             NaN             NaN             NaN
  2.9245  0.53793798E-01  0.53793798E-01  0.53793798E-01             NaN             NaN             NaN
  2.9543  0.53119092E-01  0.53119092E-01  0.53119092E-01             NaN             NaN             NaN
  2.9842  0.52032327E-01  0.52032327E-01  0.52032327E-01             NaN             NaN             NaN
  3.0140  0.50588245E-01  0.50588245E-01  0.50588245E-01             NaN             NaN             NaN
  3.0439  0.48868946E-01  0.48868946E-01  0.48868946E-01             NaN             NaN             NaN
  3.0737  0.46980948E-01  0.46980948E-01  0.46980948E-01             NaN             NaN             NaN
  3.1036  0.45045531E-01  0.45045531E-01  0.45045531E-01             NaN             NaN             NaN
  3.1334  0.43185430E-01  0.43185430E-01  0.43185430E-01             NaN             NaN             NaN
  3.1632  0.41505078E-01  0.41505078E-01  0.41505078E-01             NaN             NaN             NaN
  3.1931  0.40074643E-01  0.40074643E-01  0.40074643E-01             NaN             NaN             NaN
  3.2229  0.38923375E-01  0.38923375E-01  0.38923375E-01             NaN             NaN             NaN
  3.2528  0.38042140E-01  0.38042140E-01  0.38042140E-01             NaN             NaN             NaN
  3.2826  0.37395907E-01  0.37395907E-01  0.37395907E-01             NaN             NaN             NaN
  3.3124  0.36936048E-01  0.36936048E-01  0.36936048E-01             NaN             NaN             NaN
  3.3423  0.36613478E-01  0.36613478E-01  0.36613478E-01             NaN             NaN             NaN
  3.3721  0.36387653E-01  0.36387653E-01  0.36387653E-01             NaN             NaN             NaN
  3.4020  0.36230504E-01  0.36230504E-01  0.36230504E-01             NaN             NaN             NaN
