 #Energy       XX              YY             ZZ              XY              YZ              XZ       
  1.5518  0.40831802E+00  0.40831802E+00  0.40831802E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.5816  0.41327496E+00  0.41327496E+00  0.41327496E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.6115  0.41764347E+00  0.41764347E+00  0.41764347E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.6413  0.42126419E+00  0.42126419E+00  0.42126419E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.6711  0.42402612E+00  0.42402612E+00  0.42402612E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.7010  0.42587800E+00  0.42587800E+00  0.42587800E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.7308  0.42684703E+00  0.42684703E+00  0.42684703E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.7607  0.42704723E+00  0.42704723E+00  0.42704723E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.7905  0.42667414E+00  0.42667414E+00  0.42667414E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.8204  0.42598921E+00  0.42598921E+00  0.42598921E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.8502  0.42527475E+00  0.42527475E+00  0.42527475E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.8800  0.42477410E+00  0.42477410E+00  0.42477410E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.9099  0.42464043E+00  0.42464043E+00  0.42464043E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.9397  0.42490518E+00  0.42490518E+00  0.42490518E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.9696  0.42549529E+00  0.42549529E+00  0.42549529E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  1.9994  0.42627958E+00  0.42627958E+00  0.42627958E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  2.0292  0.42713276E+00  0.42713276E+00  0.42713276E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  2.0591  0.42797952E+00  0.42797952E+00  0.42797952E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
