      #Energy        TDOS-UP        TDOS-DOWN
      -1.59878       7.02800      -7.02800
      -1.48678       6.54600      -6.54600
      -1.37378       1.80600      -1.80600
      -1.26178       0.61660      -0.61660
      -1.14978       2.49900      -2.49900
      -1.03778       4.87600      -4.87600
      -0.92578       5.48400      -5.48400
      -0.81278       2.96600      -2.96600
      -0.70078       3.32600      -3.32600
      -0.58878       3.94100      -3.94100
      -0.47678       5.40900      -5.40900
      -0.36478       5.59100      -5.59100
      -0.25278       6.03500      -6.03500
      -0.13978       0.70370      -0.70370
      -0.02778       0.00000       0.00000
       0.08422       0.00000       0.00000
       0.19622       0.00000       0.00000
       0.30822       0.00000       0.00000
       0.42022       0.08635      -0.08635
       0.53322       0.27660      -0.27660
       0.64522       0.45080      -0.45080
       0.75722       1.34700      -1.34700
       0.86922       2.40000      -2.40000
       0.98122       2.87300      -2.87300
       1.09322       1.83200      -1.83200
       1.20622       2.50900      -2.50900
       1.31822       1.86000      -1.86000
       1.43022       1.72300      -1.72300
       1.54222       1.63700      -1.63700
       1.65422       1.02900      -1.02900
       1.76722       0.00000       0.00000
       1.87922       0.00000       0.00000
       1.99122       0.00000       0.00000
       2.10322       0.00468      -0.00468
       2.21522       0.01046      -0.01046
       2.32722       0.01401      -0.01401
       2.44022       0.01752      -0.01752
       2.55222       0.02112      -0.02112
       2.66422       0.02396      -0.02396
       2.77622       0.02715      -0.02715
       2.88822       0.03048      -0.03048
       3.00022       0.03395      -0.03395
       3.11322       0.03749      -0.03749
       3.22522       0.04115      -0.04115
       3.33722       0.04491      -0.04491
       3.44922       0.04878      -0.04878
       3.56122       0.05287      -0.05287
       3.67322       0.05727      -0.05727
       3.78622       0.06199      -0.06199
       3.89822       0.06699      -0.06699
       4.01022       0.07212      -0.07212
       4.12222       0.07735      -0.07735
       4.23422       0.08293      -0.08293
       4.34722       0.08933      -0.08933
       4.45922       0.09606      -0.09606
       4.57122       0.10390      -0.10390
       4.68322       0.11140      -0.11140
       4.79522       0.11680      -0.11680
       4.90722       0.12680      -0.12680
       5.02022       0.13500      -0.13500
       5.13222       0.14590      -0.14590
       5.24422       0.15820      -0.15820
       5.35622       0.17030      -0.17030
       5.46822       0.18270      -0.18270
       5.58022       0.19860      -0.19860
       5.69322       0.21840      -0.21840
       5.80522       0.23900      -0.23900
       5.91722       0.26830      -0.26830
       6.02922       0.34300      -0.34300
       6.14122       0.37720      -0.37720
       6.25322       0.38000      -0.38000
       6.36622       0.39050      -0.39050
       6.47822       0.40080      -0.40080
       6.59022       0.40580      -0.40580
       6.70222       0.42650      -0.42650
       6.81422       0.52400      -0.52400
       6.92722       0.61770      -0.61770
       7.03922       0.67050      -0.67050
       7.15122       0.66110      -0.66110
       7.26322       0.64210      -0.64210
       7.37522       0.63100      -0.63090
       7.48722       0.61660      -0.61660
       7.60022       0.60400      -0.60400
       7.71222       0.58530      -0.58530
       7.82422       0.56900      -0.56900
       7.93622       0.53810      -0.53810
       8.04822       0.52760      -0.52760
       8.16022       0.51610      -0.51600
       8.27322       0.50290      -0.50310
       8.38522       0.47080      -0.47080
       8.49722       0.45340      -0.45340
       8.60922       0.43760      -0.43750
       8.72122       0.42240      -0.42210
       8.83422       0.41780      -0.41820
       8.94622       0.40500      -0.40580
       9.05822       0.44110      -0.44240
       9.17022       0.36220      -0.36420
       9.28222       0.21010      -0.20930
       9.39422       0.06299      -0.06286
       9.50722       0.01084      -0.01249
       9.61922       0.00059       0.00000
       9.73122       0.00000       0.00000
       9.84322       0.00000       0.00000
       9.95522       0.00000       0.00000
      10.06722       0.00000       0.00000
      10.18022       0.00000       0.00000
      10.29222       0.00000       0.00000
      10.40422       0.00000       0.00000
      10.51622       0.00000       0.00000
      10.62822       0.00000       0.00000
      10.74022       0.00000       0.00000
      10.85322       0.00000       0.00000
      10.96522       0.00000       0.00000
      11.07722       0.00000       0.00000
      11.18922       0.00000       0.00000
      11.30122       0.00000       0.00000
      11.41422       0.00000       0.00000
      11.52622       0.00000       0.00000
      11.63822       0.00000       0.00000
