      #Energy        TDOS-UP        TDOS-DOWN
      -2.15978       8.31703      -8.31703
      -2.04678       8.56017      -8.56017
      -1.93478       8.77778      -8.77778
      -1.82278       9.00314      -9.00314
      -1.71078       9.26226      -9.26226
      -1.59878       9.79879      -9.79879
      -1.48678      10.56012     -10.56012
      -1.37378      11.02856     -11.02856
      -1.26178      11.16444     -11.16444
      -1.14978      11.33918     -11.33918
      -1.03778      11.75283     -11.75283
      -0.92578      12.33389     -12.33389
      -0.81278      12.80782     -12.80782
      -0.70078      13.16072     -13.16072
      -0.58878      13.56831     -13.56831
      -0.47678      14.09272     -14.09272
      -0.36478      14.70968     -14.70968
      -0.25278      15.36175     -15.36175
      -0.13978      15.73971     -15.73971
      -0.02778      15.77918     -15.77918
       0.08422      15.77918     -15.77918
       0.19622      15.77918     -15.77918
       0.30822      15.77918     -15.77918
       0.42022      15.78402     -15.78402
       0.53322      15.80438     -15.80438
       0.64522      15.84517     -15.84517
       0.75722      15.94601     -15.94601
       0.86922      16.15616     -16.15616
       0.98122      16.45191     -16.45191
       1.09322      16.71580     -16.71580
       1.20622      16.95928     -16.95928
       1.31822      17.20432     -17.20432
       1.43022      17.40528     -17.40528
       1.54222      17.59373     -17.59373
       1.65422      17.74326     -17.74326
       1.76722      17.80098     -17.80098
       1.87922      17.80098     -17.80098
       1.99122      17.80098     -17.80098
       2.10322      17.80124     -17.80124
       2.21522      17.80209     -17.80209
       2.32722      17.80346     -17.80346
       2.44022      17.80523     -17.80523
       2.55222      17.80740     -17.80740
       2.66422      17.80992     -17.80992
       2.77622      17.81279     -17.81279
       2.88822      17.81602     -17.81602
       3.00022      17.81964     -17.81964
       3.11322      17.82364     -17.82364
       3.22522      17.82805     -17.82805
       3.33722      17.83288     -17.83288
       3.44922      17.83814     -17.83814
       3.56122      17.84384     -17.84384
       3.67322      17.85001     -17.85001
       3.78622      17.85670     -17.85670
       3.89822      17.86394     -17.86394
       4.01022      17.87174     -17.87174
       4.12222      17.88012     -17.88012
       4.23422      17.88911     -17.88911
       4.34722      17.89877     -17.89877
       4.45922      17.90917     -17.90917
       4.57122      17.92039     -17.92039
       4.68322      17.93246     -17.93246
       4.79522      17.94526     -17.94526
       4.90722      17.95892     -17.95892
       5.02022      17.97361     -17.97361
       5.13222      17.98936     -17.98936
       5.24422      18.00642     -18.00642
       5.35622      18.02484     -18.02484
       5.46822      18.04464     -18.04464
       5.58022      18.06603     -18.06603
       5.69322      18.08942     -18.08942
       5.80522      18.11507     -18.11507
       5.91722      18.14352     -18.14352
       6.02922      18.17781     -18.17781
       6.14122      18.21820     -18.21820
       6.25322      18.26067     -18.26067
       6.36622      18.30389     -18.30389
       6.47822      18.34827     -18.34827
       6.59022      18.39351     -18.39351
       6.70222      18.44019     -18.44019
       6.81422      18.49350     -18.49350
       6.92722      18.55754     -18.55754
       7.03922      18.62979     -18.62979
       7.15122      18.70447     -18.70447
       7.26322      18.77757     -18.77757
       7.37522      18.84897     -18.84897
       7.48722      18.91895     -18.91893
       7.60022      18.98741     -18.98739
       7.71222      19.05411     -19.05410
       7.82422      19.11885     -19.11884
       7.93622      19.18095     -19.18093
       8.04822      19.24072     -19.24071
       8.16022      19.29926     -19.29924
       8.27322      19.35641     -19.35640
       8.38522      19.41102     -19.41102
       8.49722      19.46286     -19.46286
       8.60922      19.51283     -19.51282
       8.72122      19.56107     -19.56104
       8.83422      19.60819     -19.60817
       8.94622      19.65434     -19.65438
       9.05822      19.70179     -19.70196
       9.17022      19.74685     -19.74720
       9.28222      19.77895     -19.77936
       9.39422      19.79426     -19.79463
       9.50722      19.79840     -19.79885
       9.61922      19.79905     -19.79955
       9.73122      19.79908     -19.79955
       9.84322      19.79908     -19.79955
       9.95522      19.79908     -19.79955
      10.06722      19.79908     -19.79955
      10.18022      19.79908     -19.79955
      10.29222      19.79908     -19.79955
      10.40422      19.79908     -19.79955
      10.51622      19.79908     -19.79955
      10.62822      19.79908     -19.79955
      10.74022      19.79908     -19.79955
      10.85322      19.79908     -19.79955
      10.96522      19.79908     -19.79955
      11.07722      19.79908     -19.79955
      11.18922      19.79908     -19.79955
      11.30122      19.79908     -19.79955
      11.41422      19.79908     -19.79955
      11.52622      19.79908     -19.79955
      11.63822      19.79908     -19.79955
