 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.14324000E+01  0.51277841E+05  0.51277841E+05  0.51277841E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14623000E+01  0.54170314E+05  0.54170314E+05  0.54170314E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14921000E+01  0.57167800E+05  0.57167800E+05  0.57167800E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15219000E+01  0.60283041E+05  0.60283041E+05  0.60283041E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15518000E+01  0.63535800E+05  0.63535800E+05  0.63535800E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15816000E+01  0.66935730E+05  0.66935730E+05  0.66935730E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16115000E+01  0.70518307E+05  0.70518307E+05  0.70518307E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16413000E+01  0.74309586E+05  0.74309586E+05  0.74309586E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16711000E+01  0.78361677E+05  0.78361677E+05  0.78361677E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17010000E+01  0.82703825E+05  0.82703825E+05  0.82703825E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17308000E+01  0.87247926E+05  0.87247926E+05  0.87247926E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17607000E+01  0.91732551E+05  0.91732551E+05  0.91732551E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17905000E+01  0.95905823E+05  0.95905823E+05  0.95905823E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18204000E+01  0.99971426E+05  0.99971426E+05  0.99971426E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18502000E+01  0.10442947E+06  0.10442947E+06  0.10442947E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18800000E+01  0.10970841E+06  0.10970841E+06  0.10970841E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19099000E+01  0.11604494E+06  0.11604494E+06  0.11604494E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19397000E+01  0.12359069E+06  0.12359069E+06  0.12359069E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19696000E+01  0.13258610E+06  0.13258610E+06  0.13258610E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19994000E+01  0.14334186E+06  0.14334186E+06  0.14334186E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20292000E+01  0.15621795E+06  0.15621795E+06  0.15621795E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20591000E+01  0.17141469E+06  0.17141469E+06  0.17141469E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20889000E+01  0.18879379E+06  0.18879379E+06  0.18879379E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21188000E+01  0.20797296E+06  0.20797296E+06  0.20797296E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21486000E+01  0.22844373E+06  0.22844373E+06  0.22844373E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21785000E+01  0.24975990E+06  0.24975990E+06  0.24975990E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22083000E+01  0.27145500E+06  0.27145500E+06  0.27145500E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22381000E+01  0.29311840E+06  0.29311840E+06  0.29311840E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22680000E+01  0.31436635E+06  0.31436635E+06  0.31436635E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22978000E+01  0.33478488E+06  0.33478488E+06  0.33478488E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23277000E+01  0.35407198E+06  0.35407198E+06  0.35407198E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23575000E+01  0.37198603E+06  0.37198603E+06  0.37198603E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23873000E+01  0.38843743E+06  0.38843743E+06  0.38843743E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24172000E+01  0.40334112E+06  0.40334112E+06  0.40334112E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24470000E+01  0.41670328E+06  0.41670328E+06  0.41670328E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24769000E+01  0.42892712E+06  0.42892712E+06  0.42892712E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25067000E+01  0.44029754E+06  0.44029754E+06  0.44029754E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25366000E+01  0.45074757E+06  0.45074757E+06  0.45074757E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25664000E+01  0.45996967E+06  0.45996967E+06  0.45996967E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25962000E+01  0.46787905E+06  0.46787905E+06  0.46787905E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26261000E+01  0.47469338E+06  0.47469338E+06  0.47469338E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26559000E+01  0.48077006E+06  0.48077006E+06  0.48077006E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26858000E+01  0.48652355E+06  0.48652355E+06  0.48652355E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27156000E+01  0.49214611E+06  0.49214611E+06  0.49214611E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27455000E+01  0.49773177E+06  0.49773177E+06  0.49773177E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27753000E+01  0.50320746E+06  0.50320746E+06  0.50320746E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28051000E+01  0.50854078E+06  0.50854078E+06  0.50854078E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
